# 31145	２４０／２１／マリアの落ちた場所	
* Rance	ランス	Male
* Sill Plain	シィル	Female
* Pigu Geliciam	ピグ	Female
* Crook Mofus	クルックー	Female
* Alkanese Rize	アルカネーゼ	Female
* Kentou Kanami	かなみ	Female
* Caloria Cricket	カロリア	Female

55417	Rance	「……ちっ。ここにもいないぞ、マリアのやつ」	「...Tch. She's not here either, that Maria.」

55418	-	ランス達は、洞窟の入口からぐるりと迂回して、	Rance's group took a detour from the cave entrance
55419	+	マリアの工場の真下のあたりにたどり着いていた。	and reached the area right below Maria's factory.

55420	Sill Plain	「もっと奥に行ってしまったんでしょうか……」	「Maybe she went deeper in...」

55421	Rance	「遭難したらその場から動くなと言うのだ。	「You're supposed to stay put if you get lost.
55422	+	　あのバカめ」	That idiot.」

55423	Pigu Geliciam	「あ。ランス。岩発見だよ」	「Ah. Rance. Found a rock.」

55424	Rance	「岩？」	「Rock?」

55425	-	ピグが指さしたのは、強い力で吹き飛ばされたような	What Pigu pointed at was a shattered rock
55426	+	崩れた岩の塊だった。	that looked like it had been smashed with great force.

55427	Crook Mofus	「ストーンガーディアンの残骸ですね。	「It's the remains of a Stone Guardian.
55428	+	　マリアさんはこれに襲われたのかもしれません」	　Maria-san might have been attacked by it.」

55429	Alkanese Rize	「で、いつものチューリップで吹っ飛ばしたのか。	「So she blew it up with her usual Tulip.
55430	+	　やるなぁ」	　Not bad.」

55431	Kentou Kanami	「倒した……けど、ここからは移動した？	「She defeated it... but moved on from here?
55432	+	　まあ、安全ではないだろうけど……」	　Well, it's not safe though...」

55433	Rance	「うむむ……」	「Hmm...」

55434	Caloria Cricket	「あ。あげはレーダーで足跡めっけ。	「Ah. Ageha found footprints with radar.
55435	+	　ランス、多分こっちだよ」	　Rance, probably this way.」

55436	Rance	「お、よくやった。	「Oh, good job.
55437	+	　とにかくあいつを確保するぞ」	　Anyway, let's secure her.」

55438	-	一行はマリアを捜し、更に奥へと進んでいった。	The group continued deeper into the cave searching for Maria.

55439	Caloria Cricket~	（…………あり？　もう一個、別の足跡……？	（............Huh? Another set of footprints...?)
55440	+	　んん、気のせいかな……？）	　Maybe I'm imagining it...?)
