# 35002	t６１０／勇者ゲイマルク／戦闘後	

260077	?		粉々した霧のように消滅させた	He was smashed
260078	+		が・・声が聞こえる、ゲイマルクの声が・・	to pieces and vanished like mist. I... can
260079	+		再生していくゲイマルク・・	hear a voice, Geimark's voice... Geimark
260080	+		勇者は殺せないのか・・	is regenerating... Can't the hero be
260081	+		エールの選択	killed...? El's choice > Choice: I want to
260082	+		＞選択　消滅させたい	annihilate El feels sorry for Geimark. He
260083	+		　　エールは、ゲイマルクを可哀相に思う	wants to let him die, to be wiped out...
260084	+		　　死なせてあげたい、消滅させてほしい・・	As he thinks this, For some reason...
260085	+		　　と考えて居ると	the regenerating Geimark fades away
260086	+		　　何故か・・再生していたゲイマルクがまた消えていきます	again. To others, it doesn't look like El
260087	+		　　他の者にはエールが何かしたからという感じには見せません。	did anything. They just have a feeling
260088	+		　　あれ、なんでだろうという感じくらいで	like 'huh, I wonder why'. In other cases,
260089	+		それ以外の場合は、ゆっくり再生していくが	it slowly regenerates. There is no need
260090	+		かまっている必要は無いので先に進みます	to pay attention, so we move on. Here,
260091	+		　	
260092	+		ここはコーラを出してもいいです。出さなくてもいいです	you may offer cola. Or you may not.
