# 35057	t６１３／クエルプラン／戦闘前	

260908	?		ちっ・・どこかに消えやがったか。	Tch... Has it disappeared somewhere? I dealt
260909	+		かなり傷を与えたから、しばらくはでてこないだろう	considerable damage, so it probably won't
260910	+		ネプラカスを撃破した	show up for a while. Neplacus has been
260911	+		　	
260912	+		（ＣＧ：クエルプラン遭遇）	defeated. (CG: Encounter with Quelplan)
260913	+		さて、あれが大怪獣クエルプランだな。うむ、でかいな。	Now then, that is the giant monster
260914	+		ん・・クエルプラン・・んんん、どこかで聞いた事のある名だな。	Quelplan. Hmm, it's huge. Hmm... Quelplan...
260915	+		それはそうでしょ、世界最大の厄災として有名な大怪獣ですから	hmmm, that's a name I've heard somewhere.
260916	+		いや、そうじゃなくて、もっと前に・・俺が人間だった頃・・	That's right, it's a giant monster famous as
260917	+		・・・	the greatest calamity in the world. No, not
260918	+		・・・回想ＣＧ　神クエルプランの絵	that. Earlier... back when I was human...
260919	+		・・・	... ...Flashback CG: The image of the god
260920	+		あっ、俺が犯した上級神の名が確か・・クエルプランだったような	Quelplan. ... Ah, the name of the higher god
260921	+		えっ。	I defiled was definitely... Quelplan, I think.
260922	+		まぁ、よい、とにかく倒すぞ。	Huh. Well, whatever, let's just defeat it.
