# 34563	t１５４／魔王を元に戻す方法	

257890	?		健太郎と美樹が聞いてみる・・	Kentarou and Miki try asking... It's possible,
257891	+		可能だよ、	The method to become a demon king, to
257892	+		魔王になる方法、魔王を止める方法、勇者になる方法、勇者を止める方法	stop the demon king; to become a hero, to
257893	+		神になる方法、種族を変える方法、全て手段が用意されている。	stop the hero, the way to become a god, to
257894	+		ただ、出来るかどうかは別だ。	change species - all these means have been
257895	+		ホラガは紙にすらすらと何か書いていった。それを渡す	prepared. However, whether you can actually
257896	+		　上級ドラゴンの干し肝＊１０	do it is another matter. Horaga smoothly
257897	+		　魔血魂＊１５	wrote something on paper and handed it
257898	+		　６級神以上の封印玉	over. 10 dried livers of advanced dragons 15
257899	+		　星剣サターン	Demonic Blood Souls Sealing orbs of rank 6
257900	+		　星剣マーズ	gods or higher Star Sword Saturn Star Sword
257901	+		　４つ刃のクローバー＊２００	Mars 200 four-bladed clovers 30 bottles of
257902	+		　１７０年前のワイン＊３０	wine aged 170 years 3 sets of twins born
257903	+		　３月１５日産まれるの双子＊３	on March 15 What is this...?? These are
257904	+		これは・・？？	the materials needed to stop the demon
257905	+		魔王の止める為に必要な素材、第１段階だ。それが達成出来たら次の段階を教えよう	king, first stage. Once you achieve this, I'll
257906	+		・・えっと、これって	tell you the next step. ...Well, this is... Ah,
257907	+		ああ、無理だな。よほどの者でも数百年かけても集めれるかどうかという物だろう	impossible. Even for someone remarkable,
257908	+		・・・・・	it would probably take hundreds of years
257909	+		神のいやがらせだよ	to gather. ...... It's a god's harassment.
