# 33329	６０７／異様な迷宮	
* Nagata-kun	長田君２	Male
* Yamamoto Rangi	乱義２	Male
* Sushinu the Gandhi	スシヌ２	Female
* Zance Leazas	ザンス２	Male
* Reset Kalar	リセット２	Female
* Mouri Motonari	元就２	Male
* Mix Tou	ミックス２	Female
* El Mofus	エール２	Player's choice

227490	-	日の当たらない森の中を歩いていると、	Walking through the sunless forest,
227491	+	自然と気が重くなるのをあなたは自覚していた。	you naturally felt a heavy feeling in your chest.

227492	Nagata-kun	「はあ……そろそろ疲れてきた……	「Haa... I'm getting tired...
227493	+	　乱義ー、その迷宮ってのまだなん？」	　Rangi, how much further to that labyrinth?」

227494	Yamamoto Rangi	「……もう少し」	「...A little more.」

227495	Yamamoto Rangi	「ああ、見えてきたよ」	「Ah, I can see it now.」

227496	Nagata-kun	「お？」	「Oh?」

227497	Nagata-kun	「おーっ、ここがパワジオンセン迷宮かー」	「Ooh, so this is the Power Gionsen Labyrinth.」

227498	-	あなた達の前に洞窟の入り口が	The entrance to a cave yawned open
227499	+	ぽっかりと穴を空けていた。	in front of you.

227500	Nagata-kun	「……なんか雰囲気あるなあ」	「...It has quite the atmosphere.」

227501	Sushinu the Gandhi	「う、うん……ちょっと怖いね……」	「Y-yeah... it's a bit scary...」

227502	Zance Leazas	「こんなもん、ただの迷宮じゃねーか。	「This is just a regular labyrinth.
227503	+	　おら、とっとと中入るぞー」	　Come on, let's hurry inside.」

227504	Sushinu the Gandhi	「きゃーーっ！？　ひひひ、引っ張らないでー！」	「Kyaaa!? H-h-h, don't pull me!」

227505	-	あなた達はとりあえず迷宮内に	You decided to step inside the labyrinth
227506	+	足を踏み入れてみることにした。	for now.

227507	Reset Kalar	「うーん……」	「Hmm...」

227508	Reset Kalar	「中は思ったよりも静かだねー」	「It's quieter inside than I expected.」

227509	-	洞窟の中に足を踏み入れると、	As you stepped into the cave,
227510	+	あなた達の足音がコツコツと	your footsteps echoed loudly
227511	+	大きく響くほど静かだった。	in the silence.

227512	-	どうやら中は外よりも気温が低いらしい。	It seemed the temperature inside was lower than outside.
227513	+	あなたはぷるっと体を震わせた。	You shivered slightly.

227514	Mouri Motonari	「つまらん」	「Boring.」

227515	Mouri Motonari	「魔物が大群で出迎えてでもくれりゃあ、	「If a huge swarm of monsters came to greet us,
227516	+	　少しは賑やかになって面白いんだが」	　it would be a lot more lively and fun.」

227517	Sushinu the Gandhi	「おおお、面白くないよ、元就ちゃん！？」	「No no, that's not good, Motonari-chan!?」

227518	Yamamoto Rangi	「おかしいな……」	「Strange...」

