# 31516	４０３／クリームとエッチ	cg
* Cream Ganoblade	クリーム	Female
* Rance	ランス	Male

83618	-	ランス城の廊下で	In the hallway of Rance Castle
83619	+	ランスがクリームと揉めていた。	Rance was arguing with Cream.

83620	Cream Ganoblade	「は、な、して……ください！」	「L-let go... please!」

83621	Rance	「だーめーだー！	「No way!
83622	+	　離したら逃げるだろうが！」	　If I let go you'll run!」

83623	-	ランスは後ろからクリームを羽交い締めにしていた。	Rance had Cream in a tight bear hug from behind.

83624	Rance	「クリームちゃん！	「Cream-chan!
83625	+	　忘れたとは言わさんぞ！」	　Don't say you forgot!」

83626	Rance	「魔物大将軍ルメイを殺して	「After I killed the Great Monster General LeMay
83627	+	　ヘルマンを救えば、セックスさせる！	　and saved Helman, you promised to have sex with me!
83628	+	　君は確かにそう約束した筈だ！」	　You definitely promised!」

83629	Cream Ganoblade	「してません！」	「I didn't!」

83630	Rance	「ヘルマンから魔物を一掃できたのは	「Who cleared out all the monsters from Helman?
83631	+	　誰のおかげだ！？　そう俺様のおかげだ！」	　It was thanks to me!」

83632	Rance	「俺様はヘルマンを救った英雄だぞ！	「I'm the hero who saved Helman!
83633	+	　セックスのご褒美をよこせー！」	　Give me my sex reward!」

83634	Cream Ganoblade	「英雄だと仰るなら、	「If you call yourself a hero,
83635	+	　少しは英雄らしくしては如何ですか！？」	　then act like one!?」

83636	Rance	「がははは、俺様はセックス大好きな英雄なのだ！	「Gahahaha, I'm a sex-loving hero!
83637	+	　いいから、さーせーろー！」	　So just let me fuck you!」

83638	Cream Ganoblade	「本当に貴方という方は！」	「You really are...!」

83639	-	…………	............

83640	-	……	......

83641	Cream Ganoblade	「はあっ……はあっ……	「Haa... haa...
83642	+	　そ、そろそろ諦めて、くださ、い……」	　P-please give up already...」

83643	Rance	「ぜえ……ぜえ……	「Zee... zee...
83644	+	　なんと、強情な奴だ……」	　What a stubborn girl...」

83645	-	羽交い締めの状態のまま、	Still in the bear hug,
83646	+	二人は荒く息をついていた。	both were breathing heavily.

83647	Rance~	（むう、ルメイを倒せば	（Muu, I thought if I defeated LeMay
83648	+	　喜んで股を開くと思ったのに……）	　she'd happily spread her legs...）

83649	Rance~	（どれだけ説得しても聞く気はないようだし、	（No matter how much I persuade her she won't listen,
83650	+	　むむむ、なんと言えばセックスさせるつもりだ）	　Mmm, how can I get her to have sex with me.）

83651	Rance	「俺は大英雄だぞ、今ここで俺に抱かれれば	「I'm a great hero. If you let me fuck you now
83652	+	　君も得することがいっぱいだぞ」	　you'll get tons of benefits.」

83653	Cream Ganoblade	「結構です」	「No thank you.」

83654	Rance	「よし、総統閣下命令で今後もヘルマンに	「Alright, as Supreme Leader I order continued support for Helman.
83655	+	　色々と便宜を図ってやるぞ？	　You understand what you need to do for that, right? Gufu.」
83656	+	　その為には何が必要か分かるな？　ぐふふ」	

