# 33435	２０１／スルメ山入る	
* Rance	ランス	Male
* Sill Plain	シィル	Female
* Satella	サテラ	Female

240418	-	自由都市、スルメ山――	Free Cities, Slurp Mountain――

240419	Rance	「ほほう、ここがスルメ山か……」	「Hoh, so this is Slurp Mountain...」

240420	-	ランスは霧で真っ白に染まった	Rance looked at the mountain dyed completely white by fog
240421	+	山を見て溜め息をついた。	and let out a sigh.

240422	Rance	「まったく色気の欠片もない山だな」	「What a completely unsexy mountain.」

240423	Rance	「む？　シィル？　どこ行った？」	「Hm? Sill? Where did you go?」

240424	-	ランスが振り返るがシィルの姿は	Rance turned around but Sill's figure
240425	+	霧の中に紛れ見えなかった。	had disappeared into the fog.

240426	Rance	「こらー！　シィル！　返事しろー！」	「Hey! Sill! Answer me!」

240427	Sill Plain	「ここですー、ランス様ー」	「I'm hereー, Rance-samaー」

240428	Rance	「ここか！」	「There!」

240429	Sill Plain	「きゃっ！」	「Kyaa!」

240430	-	霧の中にズボッと手を突っ込み、	Rance thrust his hand deep into the fog,
240431	+	かすかに触れた柔らかい手を引き寄せると、	grabbed the soft hand he felt and pulled,
240432	+	シィルがランスの胸元に飛び込んできた。	and Sill flew into Rance's chest.

240433	Sill Plain	「あ、ランス様……	「Ah, Rance-sama...
240434	+	　どきどき……」	　My heart's pounding...」

240435	-	ランスはシィルの両こめかみに握り拳を当てた。	Rance pressed his fists against both of Sill's temples.

240436	Sill Plain	「あれ？」	「Eh?」

240437	-	　	　
240438	+	　＜ぐりぐりぐりぐりぐりぐり＞	　＜Grind grind grind grind grind grind＞

240439	Sill Plain	「あいたたたたた……！	「Ouch ouch ouch...!
240440	+	　いた、痛いですぅ、ランス様！」	　It hurts, it hurts, Rance-sama!」

240441	Rance	「奴隷が俺から離れるんじゃない、この馬鹿」	「Don't wander away from your master, you idiot.」

240442	Sill Plain	「す、すみません……ひんひん……」	「S-Sorry... whimper...」

240443	Satella	「ランス、遊んでいる暇はないぞ」	「Rance, we don't have time to play.」

240444	Rance	「それもそうだ。	「True.
240445	+	　美樹ちゃんを捜すぞ」	　Let's search for Miki-chan.」

240446	-	ランス達は霧の濃い山中へ入り込んでいった。	Rance and the others ventured deeper into the thickly fogged mountain.
