# 32543	２１０／４２／ハウゼル戦闘後	
* Rance	ランス	Male
* La Hawzel	ハウゼル	Female
* Flame Scrivener	火炎書士	Female
* Satella	サテラ	Female

158299	Rance	真剣	「待て……」	「Wait......」

158300	La Hawzel	基本	「どうかしました？」	「Is something wrong?」

158301	Rance		「なんか……」	「Something......」

158302	Rance		「変な音しないか？」	「Don't you hear a weird sound?」

158303	-		　	　
158304	+		　　＜ピピピピピピピピ＞	　　＜Beep beep beep beep＞

158305	Flame Scrivener		「あ……す、すみません……」	「Ah...... s, sorry......」

158306	-		音の原因である時計を持った火炎書士が	Flame Scrivener, holding the clock that was making the sound,
158307	+		申し訳なさそうに割って入ってきた。	apologetically stepped in.

158308	Flame Scrivener		「あ、あのー……ハウゼル様……	「U, um...... Hawzel-sama......
158309	+		　図書館の閉館時間が迫ってます……」	　The library closing time is approaching......」

158310	Flame Scrivener		「本日までに返さないと	「If we don't return the book by today
158311	+		　いけない本があったかと思いますが……	　I think there was a book that needs returning......
158312	+		　その……どうしますか？」	　So...... what should we do?」

158313	La Hawzel		「火炎、見ての通りよ。	「Flame, as you can see.
158314	+		　今はそんな時じゃないの」	　This isn't the time for that.」

158315	Flame Scrivener		「は、はい……それはそうなのですが……」	「Y, yes...... that's true but......」

158316	Flame Scrivener		「返し忘れがあると、	「If we forget to return it,
158317	+		　一ヶ月は入室禁止ですが……」	　we'll be banned from entering for a month......」

158318	La Hawzel		「…………」	「............」

158319	Flame Scrivener		「…………」	「............」

158320	La Hawzel		「……あの、三日じゃ」	「......What about three days?」

158321	Flame Scrivener		「ハウゼル様、返し忘れが多いので、	「Hawzel-sama, you forget to return
158322	+		　罰を重くしますねって先日、	　books often, so the other day we
158323	+		　話したじゃないですか……」	　said we'd increase the penalty......」

158324	La Hawzel		「…………」	「............」

158325	La Hawzel	困り	「――ごめんなさい！」	「――I'm sorry!」

158326	Rance	基本	「あ、ハウゼル！？」	「Ah, Hawzel!?」

158327	-		ピューンとハウゼルが飛び立っていった。	With a pew, Hawzel flew away.

158328	Rance		「こら、逃げるなー！」	「Hey, don't runー!」

158329	Flame Scrivener		「あ、では火炎ちゃんもこれで失礼いたします……	「Ah, then Flame-chan will take her leave too......
158330	+		　サテラ様に、ランスさん……	　Satella-sama, Rance-san......
158331	+		　本当にすみません、すみません……」	　I'm really sorry, sorry......」

158332	Satella	怒り	「あ、こら、火炎書士！」	「Ah, hey, Flame Scrivener!」

158333	Rance	だる顔	「くっ……逃げられた、のか？」	「Kuh...... she got away?」

158334	Satella	不安	「くっ……ようやく会えたのに、	「Kuh...... I finally met her,
158335	+		　なんでこんなことに……」	　why did it turn out like this......」

158336	Satella	怒り	「それもこれもお前のせいだぞ！」	「This is all your fault!」

158337	Rance	基本	「ん？　あそこになんか落ちてるぞ？」	「Hm? Something fell over there?」

158338	Satella	あほー	「サテラの話を聞けー！」	「Listen to Satellaー!」

158339	-		ランスはハウゼルの去って行った方向に	Rance picked up something that had fallen
158340	+		落ちていた何かを拾い上げた。	in the direction Hawzel had left.

158341	Rance	だる顔	「本？　なんでこんなもんが	「A book? Why is something like this
158342	+		　戦場に落ちてるんだ？」	　lying on the battlefield?」
