# 32776	５９０／女神の部屋	
* Crook Mofus	クルックー	Female
* Goddess ALICE	女神アリス	Female

175198	-		川中島――	Kawanakajima――

175199	-		AL教本部、カイズ――	AL Church Headquarters, Kaiz――

175200	-		ALICEの間への道を進みながら、	While walking along the path to ALICE's chamber,
175201	+		クルックーは沈痛な面持ちでいた。	Crook wore a grave expression.

175202	Crook Mofus~	基本	（人類側が勝ってしまった）	（The human side won.）

175203	Crook Mofus~		（それ自体は素晴らしいことですが……）	（That itself is wonderful, but...）

175204	-		おそらくこの結果は女神ALICEにとって	This outcome was probably not something
175205	+		喜ばしいものでないことは、	the Goddess ALICE would be happy about,
175206	+		クルックーにも分かっていた。	and Crook knew it.

175207	Crook Mofus~		（今回の謁見で、	（During this audience,
175208	+		　女神ALICEが何を言い出すか……）	　what will Goddess ALICE say...）

175209	-		何か対策を講じなければならないが、	She had to come up with some countermeasure,
175210	+		しかし、何も思いつかぬまま、	but without thinking of anything,
175211	+		クルックーは女神の部屋へ向かった。	Crook headed toward the Goddess's room.

175212	-		…………	............

175213	-		……	......

175214	Goddess ALICE		「本当におめでとう」	「Congratulations, truly.」

175215	-		女神ALICEの口から出た言葉は、	The words that came from Goddess ALICE's mouth
175216	+		クルックーが予想していないものだった。	were not what Crook had expected.

175217	Goddess ALICE		「言ったことなかったかしら。	「Did I never say it before?
175218	+		　私、今までずっと応援していたのよ？」	　I've been cheering for you all this time.」

175219	Goddess ALICE		「きっと今度こそ、人類が勝てますように、と」	「Hoping that this time humanity would surely win.」

175220	Goddess ALICE		「そして、貴方達は人類を見事、	「And you all splendidly
175221	+		　勝利へと導いたわ」	　led humanity to victory.」

175222	Goddess ALICE		「人類史に残る偉業でしょうね。	「It will remain as a great achievement in human history.
175223	+		　おそらく今後もう二度と、	　Probably never again
175224	+		　こんな奇跡は起こらないわ」	　will such a miracle occur.」

175225	-		常の、厳かで人の身では計り知れない	The usual solemn and unfathomable atmosphere
175226	+		雰囲気など微塵もない。	was completely absent.

175227	-		女神ALICEは笑みを浮かべて、	Goddess ALICE smiled
175228	+		人類の勝利を心から祝福していた。	and sincerely celebrated humanity's victory.

175229	Crook Mofus		「……はい、ありがとうございます」	「...Yes, thank you very much.」

175230	Goddess ALICE		「あら、なにかおかしい？」	「Oh, is something strange?」

175231	Goddess ALICE		「まあ、不思議がるのも当然ね、	「Well, it's natural to be puzzled,
175232	+		　神の玩具である貴方達人間は、	　since you humans, who are God's toys,
175233	+		　常に悲惨で不幸でなければいけないのだから」	　must always be miserable and unhappy.」

175234	Goddess ALICE		「でも……」	「But...」

175235	Goddess ALICE		「たまにはいいじゃない。	「It's fine once in a while.
175236	+		　ハッピーエンドなんていうのも」	　A happy ending like this.」

175237	Crook Mofus		「えっ……」	「Eh...」

175238	Goddess ALICE		「本当におめでとう、	「Congratulations, truly,
175239	+		　良かったわね、モフス」	　I'm glad for you, Mofus.」

175240	Crook Mofus		「…………」	「............」

175241	Goddess ALICE		「どうしたの、喜ばないの？	「What's wrong, not happy?
175242	+		　私のことは気にせず喜んでいいのよ？」	　You can be happy without worrying about me.」

175243	Goddess ALICE		「今の正直な気持ちを、私に言いなさい？」	「Tell me your honest feelings right now.」

175244	Crook Mofus		「はい、いえ……はい……	「Yes, no... yes...
175245	+		　嬉しい、と、思います……」	　I think... I'm happy...」

175246	Goddess ALICE		「ふふ、そう……」	「Fufu, I see...」

175247	-		にっこりと、	With a gentle smile,
175248	+		女神は笑みを浮かべた。	the Goddess smiled.

175249	-		女神ALICEが喜べば喜ぶほど、	The more Goddess ALICE rejoiced,
175250	+		クルックーは胸の内に不安なものを	the more unease Crook felt in her chest.
175251	+		感じずにはいられなかった。	She could not help it.

175252	Goddess ALICE		「ああ……	「Ah...
175253	+		　本当に、今日はいい日」	　Today is truly a wonderful day.」

175254	-		いつまでも飽くことなく、	Without ever growing tired,
175255	+		女神ALICEは人類を祝福し続けた。	Goddess ALICE continued to bless humanity.

175256	-		…………	............

175257	-		……	......
