# 35103	t２４０／２１／チューリップ工場／戦闘前	

261348	?		よーし、だいたい殲滅したかな。一部逃げたようだが無視していいだろう。	Alright, we've pretty much wiped them out. Some seem to
261349	+		カオスが気になっている、おかしいな・・魔人の気配が少ししたのだが・・	have escaped, but we can ignore them. Chaos seems concerned. Strange...
261350	+		マリアがたったっと走っていく、こらまて・・	I felt a slight presence of a Fiend. Maria quickly runs off. Hey, wait...
261351	+		町の一角にある工場に入る	She enters a factory in a corner of the town. Twelve Type-3 H-models
261352	+		製造中の１２台の３号Ｈ型が並んでいる	under production are lined up. Phew, good, they haven't been destroyed
261353	+		ほっ、よかった魔物に壊されていない。	by monsters. After checking various things, I think if it's just moving,
261354	+		あれこれ調べた後、とにかく動くだけなら１時間も整備したらいけると思う。	an hour of maintenance should suffice. I told Rance to wait a moment
261355	+		少しまっていてねーとランスに言うと部下達（香澄はリーザスに派遣されているので居ません）に命じて作業開始	and ordered the subordinates (Kasumi is dispatched to Leazas, so she isn't
261356	+		忙し忙しと走り回るマリア、きゃっと驚く、奥に置いていたチューリップ３号の中から少年が出てきた	here) to begin work. Maria busily runs around. Suddenly, a boy emerges
261357	+		パイアールである　カオスはやっぱり魔人がいたと叫ぶ、うーん、ちょっと風邪気味だったのか分かりにくかったわいとか	from the Tulip No.3 placed in the back. It's Pi-R. Chaos shouts that
261358	+		私のチューリップ３号に何しているのよとマリア喧嘩腰	there really was a Fiend. Hmm, maybe I had a slight cold; it was hard to
261359	+		へぇ、これ君が作ったんだ、人間にしてはすごいね。面白い物があるからと言われて見にきていたんだけど	tell. Maria confronts sharply, "What are you doing to my Tulip No.3?" "Oh,
261360	+		技術的にはあまりにも幼稚で見る所なんてないけど、発想がいいね。	you made this? That's impressive for a human. I came to see it because
261361	+		　大砲と装甲と自走部分だけか、単純な動きしか出来ないけどなるほどな、ちょっとマネてみようかな	I heard there's something interesting." Technically it's too primitive
261362	+		　こんな割り切った作り思いもつかなかったよ	and there's not much to see, but the concept is good. So it's just cannon,
261363	+		マリアをバカにした口調、口げんかになる。	armor, and propulsion parts. It can only do simple movements, but I see,
261364	+		えらそうな事をいって貴方は何が作れるのよと挑発すると	maybe I'll try to imitate it a bit. I never thought of such a straightforward
261365	+		ぞろぞろと後ろから数体のロボットが現れた。	design. The tone belittles Maria, leading to a verbal quarrel. When Maria
261366	+		うっ・・なにそれ、強そうとマリア	provocatively asks, "You say big words, but what can you make?" Several
261367	+		カオスが、えーい、とにかく倒せ、奴は魔人だぞ	robots appeared from behind in a crowd. "Ugh... what is that? It looks
261368	+		＞戦闘になります	strong," said Maria. Chaos shouts, "Hey! Just take him down, he's a Fiend!"
261369	+		＞　この戦闘はＰＤ数体だけでパイアールはいません	> Battle begins. > This battle involves only a few PDs; Pi-R is not present.
