# 33022	ダークランス２／友情イベントＢ	
* Nagata-kun	長田君２	Male
* Reset Kalar	リセット２	Female
* Nook 77	ヌーク７７２	Female
* Sushinu the Gandhi	スシヌ２	Female
* Zance Leazas	ザンス２	Male
* Dark Rance	ダークランス２	Male
* Nagi su Ragarl	ナギ２	Female
* Yamamoto Rangi	乱義２	Male
* Masou Shizuka	志津香２	Female
* Maria Custard	マリア２	Female

193403	Nagata-kun	基本	「お、朝飯作ってるんすか？」	「Oh, making breakfast?」

193404	-		朝、あなたが長田君と共に	In the morning, as you and Nagata-kun
193405	+		テントから顔を出すと、	peered out of the tent,
193406	+		リセット達が朝ご飯を作っていた。	Reset and the others were making breakfast.

193407	Reset Kalar	笑顔	「おはよー。	「Morning~.
193408	+		　うん、今朝はサンドイッチだよ〜」	　Yeah, sandwiches this morning~」

193409	Nagata-kun	基本	「お〜、いっすね〜。	「Oh~, nice~.
193410	+		　……って、うん？」	　...Wait, huh?」

193411	Nook 77	笑顔	「おはよ。	「Morning.
193412	+		　もうすぐでご飯出来るから顔を洗ってきなさい」	　Food will be ready soon so go wash your face.」

193413	Nagata-kun	基本	「あれ！？	「Eh!?
193414	+		　ダークランスさんと一緒にいる天使さん！」	　The angel who was with Dark Rance!」

193415	-		どうやらダークランスとヌークの二人は	It seems Dark Rance and Nuke
193416	+		また遊びに来ていたらしい。	came to visit again.

193417	Nagata-kun		「ほーっ、手慣れてるもんすねー。	「Whoa, you're really good at this.」
193418	+		　毎日そうやってご飯作ってんすか？」	　Do you make food like this every day?」

193419	Nook 77		「んー？　普段は手間だから	「Hmm? Usually it's too much trouble
193420	+		　そんなこともないかなあ」	　so not really.」

193421	Nook 77		「むしろ、ダークランスの方がよく作ってるかな。	「Actually Dark Rance cooks more often.
193422	+		　私も出来ないわけじゃないんだし、	　It's not that I can't,
193423	+		　ま、たまにはね」	　but only sometimes.」

193424	Reset Kalar	口開き	「これはザンスちゃんの分ー、	「This is for Zance-chan,
193425	+		　こっちはスシヌちゃんの分ー」	　this is for Sushinu-chan~」

193426	-		そんな会話をしていると、	While having such conversation,
193427	+		リセットが次々にお皿にサンドイッチを並べていく。	Reset lined up sandwiches on the plates one after another.

193428	Nook 77	ツンデレ	「…………」	「............」

193429	Nook 77~		（こ、こ、こ……）	（T-t-this...）

193430	Nook 77~		（これは……だ、ダークランスの分……）	（This is... D-Dark Rance's portion...）

193431	-		そっと、	Gently,
193432	+		ヌークは丁寧に作ったサンドイッチを	Nuke placed the carefully made sandwich
193433	+		お皿の上に並べた。	on the plate.

193434	-		…………	............

193435	-		……	...

193436	Sushinu the Gandhi	外套杖なし／笑顔	「はむはむ……	「Ham ham...
193437	+		　んー、美味しい……」	　Mmm, delicious...」

193438	Zance Leazas	基本	「ふんっ、まあまあ」	「Hmph, not bad.」

193439	-		皆が起きてくると朝ご飯の時間になり、	As everyone woke up it became breakfast time,
193440	+		それぞれが渡された皿から	and everyone ate the sandwiches
193441	+		サンドイッチを次々と口に運んでいた。	from their plates one after another.

193442	Dark Rance		「おっ、美味そうだなあ。	「Oh, looks tasty.
193443	+		　俺の分、あるか？」	　Is there any for me?」

193444	Nagi su Ragarl		「あ、それなら……」	「Ah, in that case...」

193445	Nook 77	ツンデレ	「どきどき……どきどき……」	「Thump thump... thump thump...」

193446	Nook 77		「あ、あの……だ、ダークランス……」	「U-um... D-Dark Rance...」

193447	Dark Rance	安心	「お、乱義のそれ美味そうだな」	「Oh, Rangi's looks good.」

193448	Yamamoto Rangi	微笑み	「兄さんも食べますか？」	「Would you like some too, brother?」

193449	Dark Rance	安心	「おう、サンキュー。	「Yeah, thanks.
193450	+		　ははは、美味い美味い」	　Hahaha, delicious.」

193451	Nook 77	怒り	「…………」	「............」

193452	-		　	　
193453	+		　　＜ぎゅ〜〜〜……＞	　　<Squeeze~~~...>

193454	Dark Rance	驚き	「痛い痛い痛い痛い！」	「Ouch ouch ouch ouch!」

193455	Dark Rance		「ななな、なんだよ！？	「W-w-what!?」
193456	+		　なんでお尻つねってるんだ、お前！」	　Why are you pinching my butt!」

193457	Nook 77	ツンデレ	「別にぃ〜……なんでもないけどぉ……？」	「Nothing~... it's nothing...?」

193458	Dark Rance	驚き	「いたたたた！	「Owww!
193459	+		　な、なんでもないなら、や、やめ！	　If it's nothing then s-stop!
193460	+		　いたーーーー！」	　Ouuuuch!」

193461	Nagata-kun	基本	「…………」	「............」

