# 35473	t２０２／大阪着	

264206	?		背景：大阪	Background: Osaka Arrived in modern Japan. Osaka.
264207	+		現代日本に到着した．大阪．市街地の外れ	Outskirts of the city. Everyone is surprised by the other
264208	+		初めての異界におどろく面々、ビルとか、鉄道とか・・飛行機とか・・（背景を元に	world for the first time: buildings, trains... airplanes... (based
264209	+		　	 
264210	+		みんながじろじろとこっちを見ます、（コスプレかな・・と思われている）	on background). Everyone stares at them (they're thought
264211	+		不良が喧嘩を売ってくる、コスプレマニアが生意気に可愛い子を連れているカモだと思った	to be cosplayers). Delinquents pick fights, thinking the cosplay
264212	+		ランスにいちゃもんつけてくる、むかつくから一刀両断に斬り殺した。	fanatics are cocky and with cute girls. They bother Rance;
264213	+		不良の仲間がうわっ・・なんだ、こいつらと逃げて行く　	annoyed, he slashes them down in one strike. The delinquents'
264214	+		そして周囲にいた一般人も逃げてランス達のまわりから人気がまったく無くなった	friends are shocked and run away. Then the bystanders
264215	+		がははは、なんと弱い奴らだ	also fled, and the area around Rance and his group became
264216	+		　　ランス達にとっては日常だが、この世界では当然大事件になります。	deserted. Gahaha, what weaklings they are. This is everyday
264217	+		　　健太郎も美樹もすっかり殺伐とした日常になれて若干麻痺している。	life for Rance and the others but naturally a huge incident in
264218	+		　	　
264219	+		健太郎か美樹に聞く、この国の一番やらい奴はどこにいる。	this world. Kentarou and Miki have become so accustomed to
264220	+		総理大臣かな・・きっと東京、ここからだと遠いよ。	this brutal everyday life that they are somewhat numb. Ask
264221	+		この近くにはいないのか	Kentarou or Miki, where is the toughest guy in this country?
264222	+		大阪だと・・大阪市長かな？　中之島に居るよ	Maybe the Prime Minister... surely Tokyo, it's far from here.
264223	+		選択	Isn't there anyone nearby? If Osaka... maybe the Mayor of
264224	+		＞東京に行って総理大臣に会う	Osaka? He's in Nakanoshima. Choice > Go to Tokyo and meet
264225	+		＞大阪市長で妥協する	the Prime Minister > Compromise with the Mayor of Osaka
