# 33391	６０９／闘神ダイジェスト	
* Reset Kalar	リセット２	Female
* Shuri Seihajuu Nagasaki	シュリ２	Female
* Copandon Dott	コパンドン２	Female

234871	Reset Kalar	「それじゃ」	「Well then.」

234872	Reset Kalar	「改めて、予選突破おめでとーう」	「Once again, congratulations on clearing the preliminaries.」

234873	-	カシャーン。	Clink.
234874	+	あなたとリセットは宿屋に戻り、	You and Reset returned to the inn
234875	+	予選突破を祝い乾杯していた。	and toasted to clearing the preliminaries.

234876	Reset Kalar	「と言ってもジュースでお祝いだけどね」	「Though we're toasting with juice.」

234877	Reset Kalar	「これからはパートナーとして、	「From now on, as your partner,
234878	+	　＜エール＞ちゃんのサポートは	　I'll support ＜エール＞-chan
234879	+	　お姉ちゃんが行うからよろしくね」	　so please take care of me.」

234880	Reset Kalar	「部屋もお姉ちゃんと一緒だから、	「We're sharing a room too,
234881	+	　なにかあったらすぐに言ってね」	　so tell me right away if anything happens.」

234882	Reset Kalar	「へへー」	「Hehe.」

234883	-	何故かとっても嬉しそうにリセットは微笑んだ。	For some reason Reset smiled very happily.

234884	Reset Kalar	「明日は＜エール＞ちゃん、	「Tomorrow ＜エール＞-chan
234885	+	　早速一回戦の戦いがあるから、	　has the first round right away,
234886	+	　今日はたっぷり休んでおこうね」	　so let's rest plenty today.」

234887	Reset Kalar	「と、その前に……」	「But before that...」

234888	Reset Kalar	「さっきナギちゃんに聞いたんだけどね、	「I heard from Nagi-chan earlier,
234889	+	　闘神大会の開催中は、	　during the Toushin Tournament,
234890	+	　毎日特別番組が行われるらしいよ」	　there are special daily programs.」

234891	Reset Kalar	「闘神ダイジェストって言うらしいんだけど、	「It's called Toushin Digest,
234892	+	　その日の試合結果や選手達の話が聞けるから	　you can hear the day's match results and player stories,
234893	+	　見といた方がいいんだって」	　so it's good to watch.」

234894	Reset Kalar	「早速、見てみよう？」	「Shall we watch it now?」

234895	-	あなたは魔法ビジョンのスイッチを入れた。	You turned on the magic vision.

234896	Shuri Seihajuu Nagasaki	「闘神ダイジェスト！」	「Toushin Digest!」

234897	Shuri Seihajuu Nagasaki	「はーい、こんばんはー。	「Yeees, good evening.
234898	+	　いよいよ今年も始まりました闘神大会！」	　The Toushin Tournament has finally begun this year too!」

234899	Shuri Seihajuu Nagasaki	「私は司会兼受付のお姉さん兼その他もろもろ、	「I am the host, reception lady, and various other roles,
234900	+	　シュリ・セイハジュウ・ナガサキでーっす」	　Shuri Seihajuu Nagasaki!」

234901	Shuri Seihajuu Nagasaki	「そしてこちらが解説の……」	「And here is our commentator...」

234902	Copandon Dott	「どーも、コパンドン帝国総帥。	「Hello, Supreme Leader of the Copandon Empire.
234903	+	　コパンドン・ドットです」	　Copandon Dot.」

234904	Shuri Seihajuu Nagasaki	「闘神ダイジェストでは毎年、	「In Toushin Digest, the commentator
234905	+	　解説枠が変わるのがお馴染みでしたが、	　changes every year as usual,
234906	+	　まさか、コパンドンさんに解説が頼めるとは」	　but I never expected Copandon-san to be the commentator.」

234907	Copandon Dott	「ま、これも仕事の一環っちゅうことやね。	「Well, this is part of the job too.
234908	+	　せいぜい盛り上げてくれ言われとります」	　I've been told to liven things up.」

234909	Copandon Dott	「ま、そんなことせんでも、	「Even without that,
234910	+	　街はとっくに大盛り上がりやけどね」	　the city is already super hyped.」

234911	Shuri Seihajuu Nagasaki	「そうですね。	「That's true.
234912	+	　ここ数年は突然現れる大怪獣クエルプランや、	　In recent years, giant monsters like Quelplan appearing suddenly,
234913	+	　魔王ランスの脅威など決して平和とも言えません」	　and the threat of Demon King Rance mean it's not exactly peaceful.」

234914	Shuri Seihajuu Nagasaki	「でも、そんなときだからこそ、	「But precisely because of times like these,
234915	+	　この大会を皆、	　everyone looks forward to
