# 35372	t２８７／ベズドグ山	

263757	?		空飛ぶランス城	Flying Rance Castle Report that Mount Bezdog
263758	+		ベズドグ山が見えてきましたと報告・・ランスは見にいく	has come into view... Rance goes to see it. What...
263759	+		なんだ・・あれは・・	is that... Surprised by the state of Mount Bezdog, a
263760	+		ベズドグ山の様子におどろく、火山・・	volcano... There's no monster soldier army nearby...
263761	+		魔物兵の軍団は近くにいないなて・・当たり前か、こんな所いたら魔物兵も死ぬな	well naturally, if they were here they'd die. Is there
263762	+		ほんとうにケイブリスが居る可能性があるのか？	really a possibility that Kayblis is here? That's the
263763	+		あいつが昔よく使っていた隠れ家、今も居るかはわからんが可能性は高い	hideout he often used in the past; not sure if he's
263764	+		しかし、どう侵入すれば・・・	still here, but the possibility is high. But how do we
263765	+		火山が噴火しているので近寄れないぞ・・	infiltrate... We can't get close because the volcano
263766	+		　２６０／２／ベズドグ山　参照	is erupting... See 260/2/Mount Bezdog for reference.
