# 35471	t２０２／スタート	

264166	?		ランス城	Rance Castle Rance and Miracle After
264167	+		ランスとミラクル	talking about the other world, Miracle is running away from
264168	+		異界の話をしてから、美樹から逃げ回っているミラクル	Miki. Rance asks why. She says she heard about the Demon
264169	+		どうしてだとランスに聞かれる	King; they apparently came from another world. Rance
264170	+		魔王の話を聞いた、彼らは異界から来たそうだ。	had heard it before but didn't take it seriously, thinking, "So
264171	+		ランスは前に聞いていたが本気にしてなかったので、あれ本当だったのかと	that was true." Probably true. I know that other world. The
264172	+		たぶん本当だ、その異界を私は知っている。	Demon King wants to return to that original other world and
264173	+		魔王はその元の異界に戻りたくて私に接触しようとしているのだ	is trying to contact me. Well, it makes sense they want to go
264174	+		そりゃ、元の世界に戻りたいだろうからな	back to their original world. I can't let her go back before
264175	+		俺様がまだ魔王美樹ちゃんの処女を奪っていないうちに返す訳にはいかない	I have taken Demon King Miki-chan's virginity. So that's why
264176	+		そういう事で躊躇しているのだな、さすがミラクルだ、俺の女だ。	you're hesitating. As expected of Miracle, she's my woman.
264177	+		違う、そうでは無い	No, that's not it. That other world is a terrifying place I call
264178	+		その異界とはスチールホラーと私は呼んでいる恐ろしい場所なのだ。	Steel Horror. Showing a previous image (reusing last CG)
264179	+		前の画像（前回のＣＧを流用）を出しながら説明、文明が違い過ぎる、私も逃げ帰った	while explaining: the civilization is too different; I also fled
264180	+		私が世界を急いで統一しないといけないと考えているのは	back. The reason I think we must quickly unify the world
264181	+		実はいずれスチールホラーからの侵略があるかもしれないと考えているからだ	is because I believe there might one day be an invasion
264182	+		これは魔物軍より強い、世界が一致団結しても勝てるかどうか・・	from Steel Horror. They are stronger than the monster army;
264183	+		とにかくあの世界は危険なのだ	even if the world unites, victory is uncertain... Anyway, that
264184	+		　	 
264185	+		ふむ・・しかし、それは使えるかもしれないぞ。	world is dangerous. Hmm... however, that might be useful.
264186	+		お前は人付き合いが下手だから戦いになったが、俺様は違う。	You failed because you're bad with people, but I'm different.
264187	+		異界スチールホラーに入り混み、この国の姫君をコマして俺の女に加え	I will infiltrate the other world Steel Horror, win over this
264188	+		スチールホラーそのものを支配する事も可能だ。がはははは	country's princess and make her my woman. It might even
264189	+		そしてスチールホラーの軍隊を配下に加えたら魔軍を蹴散らすのはたやすいかもしれない。	be possible to control Steel Horror itself. Gahahahaha! If I
264190	+		おお、いいぞ。よし、まずは偵察に行こう	add Steel Horror's army under my command, scattering the
264191	+		ミラクルはそれでも反対するがランスの気持ちはもう変わらない	Monster Army might be easy. Oh, good. Alright, first let's
264192	+		＞選択	go for reconnaissance. Miracle still objects, but Rance's
264193	+		＞異界に行く	mind won't change. >Choice >Go to the other world
