# 34517	t４１６／三姉妹占い／すっぽぬけ	

257431	?		よし、アーシーの所に行こう	Alright, let's go to Arcy. Entering Arcy's tent. A brief
257432	+		アーシーのテントに入ります。	conversation. Handing over sweets (received from Ms.
257433	+		ちょっと会話。お菓子を渡す（ビスケッタさんから貰っていた	Biscuitta). Alright then... I'll tell you about the thing
257434	+		よし、では・・おにいちゃんが今、１番気になっている事を占うね。	you're most concerned about right now, big brother.
257435	+		残念です、おにいちゃんの希望はかないません。	I'm sorry, big brother, but your wishes will not come
257436	+		なんだと・・て、なんの事だ？	true. What... what do you mean? When I, Arcy, grow
257437	+		私、アーシーが１０数年後に大きくなった時	up in a dozen or so years... The matter of making you
257438	+		お嫁さんにして、毎晩いやらしい事をしようと狙っていた件です。	my bride and aiming to do naughty things every night.
257439	+		へっ・・アホか、そんな事かんがえるか、ちんちくりん	Hmph... Are you stupid? Do you really think about
257440	+		（いや・・しかし、確かに１０数年後だと美人になっている可能性は高そう）	such things, shorty? (No... but surely, there's a high
257441	+		ふふふ、少し想像したでしょ、でも残念です	possibility that in over ten years she might become
257442	+		絶対に無理です	beautiful.) Hehehe, you imagined it a little, right?
257443	+		わからんだろう、それは・・俺はどんな女でも墜とすぞ。	But too bad. It's absolutely impossible. You don't
257444	+		無理ですね。そう占いに出ています	understand, do you... I can take down any woman.
257445	+		くそっ・・なら、絶対に達成してやる、約束だ。	It's impossible. The fortune says so. Damn it... Then
257446	+		・・だが、占いは外れなかった。	I'll definitely achieve it, I promise. ...But the fortune
257447	+		　　※ここは謎かけというか、単純なネタです	did not miss. * This part is more of a riddle or
257448	+		　　※アーシーは成長しないので	just a simple joke. * Because Arcy does not grow.
