# 31626	オノハ／キャライベントＢ	
* Onoha Mespos	オノハ	Female
* Sill Plain	シィル	Female
* Rance	ランス	Male

92269	Onoha Mespos	「シィルちゃ、ん……シィル、ちゃん……」	「Sill-chan... Sill-chan...」

92270	Sill Plain	「あら、どうしたの、オノハちゃん」	「Oh, what's wrong Onoha-chan?」

92271	Onoha Mespos	「こ、これ……落ち、て……ました」	「Th-this... fell...」

92272	Sill Plain	「あら、ありがとう」	「Oh, thank you.」

92273	Onoha Mespos	「あ……」	「Ah...」

92274	-	お礼を言われたオノハは	When thanked, Onoha
92275	+	ほにゃっと表情を柔らかくした。	softened her expression happily.

92276	Onoha Mespos	「え……えへへぇ……」	「E... ehehe...」

92277	Rance	「しばらく見ない内に	「While I wasn't looking,
92278	+	　シィルとオノハが仲良しさんになってる……」	　Sill and Onoha became good friends...」

92279	Rance	「お前、人間怖い怖い言ってなかったか？」	「Weren't you saying humans are scary?」

92280	Onoha Mespos	「人間さ、ん……確かに怖い、で、す……」	「Humans... are scary yes...

92281	Onoha Mespos	「あ、特に人間さんみたいに	　Especially loud humans like you
92282	+	　声の大きな人間さん、一番……だ、め、です」	　are the scariest...」

92283	Rance	「なんだとぉ？」	「What was that?」

92284	Onoha Mespos	「ひいっ！」	「Hii!」

92285	Onoha Mespos	「え、えっと……でも……」	「U-um... but...」

92286	Onoha Mespos	「怖くない、人間さん、分かったら……	「If I understand nice humans aren't scary...
92287	+	　私も……だい、大丈夫、です……」	　then I'll be okay too...」

92288	Sill Plain	「オノハちゃん、怖がりさんなだけで、	「Onoha-chan is just a scaredy-cat,
92289	+	　人間嫌いなわけではないので、	　she doesn't actually hate humans,
92290	+	　仲良くなれますよ？」	　so you can become friends.」

92291	Onoha Mespos	「あの、あの、ね？」	「Um, um, you know?」

92292	Onoha Mespos	「もじもじ……てれてれ……」	「Fidget fidget... shyly...」

92293	Onoha Mespos	「ギュッて……して欲しい……」	「I want... a tight hug...」

92294	Sill Plain	「はいはい、こうでいい？」	「Okay okay, like this?」

92295	Onoha Mespos	「あっ……」	「Ah...」

92296	Onoha Mespos	「うっとり……」	「Blissful...」

92297	-	シィルに抱きしめられたオノハは	Hugged tightly by Sill, Onoha
92298	+	自分からもシィルにぎゅっと抱きついた。	hugged her back just as tightly.

92299	Rance	「甘えん坊オノハ……	「Spoiled Onoha...
92300	+	　初めて見た」	　First time seeing this.」

92301	Sill Plain	「ふふ、まだ誰かに甘えたい年頃なんですよ」	「Fufu, she's at that age where she still wants to be spoiled.」

92302	Rance	「うーむ、信じられん……」	「Hmm, hard to believe...」

92303	Onoha Mespos	「えへへへ……」	「Ehehehe...」

92304	-	シィルに抱きしめられたオノハは	Hugged by Sill, Onoha
92305	+	猫のように目を細めていた。	narrowed her eyes like a cat.

92306	Rance~	（俺も今の内から慣れさせた方が、	（I should get her used to me now,
92307	+	　大人になった時手間がないかも知れんな）	　so it'll be easier when she's grown.）

92308	Rance~	（今はまだ食べられんが、	（Can't eat her yet,
92309	+	　年頃になったら……ぐふふ……）	　but when she's older... gufufu...）

92310	Rance	「よし！　オノハ、俺にも甘えていいぞ！」	「Alright! Onoha, you can spoil yourself on me too!」

92311	Onoha Mespos	「え……」	「Eh...」

92312	Onoha Mespos	「いいです」	「No thanks.」

92313	Rance	「なんでだ」	「Why not?」

92314	Onoha Mespos	「え……だっ、て……	「Because...
92315	+	　人間さん……怖い……」	　humans... are scary...」

92316	Rance	「まーまー、遠慮するな」	「Come on, don't be shy.」

92317	Onoha Mespos	「ひーーーーーーっ！」	「Hiiiiii!」

92318	-	ランスはオノハを	Rance yanked Onoha
92319	+	ぐいーっとシィルからひっぺがすと、	away from Sill,
92320	+	無理矢理自分の膝の上に座らせた。	and forced her onto his lap.

92321	Onoha Mespos	「ぶるぶるぶるぶるぶるぶるぶる……」	「Tremble tremble tremble...」

92322	Rance	「雷の夜のわんわんみたいになってやがる」	「You're shaking like a dog on a stormy night.」

92323	Onoha Mespos	「ひいっ、ひいっ……こ、怖いぃ……」	「Hii, hii... s-scary...」

92324	Rance	「おいおい、こんな優しい俺様を	「Hey now, why fear such a gentle guy like me.
92325	+	　何を恐れる必要がある。	　There's nothing to be afraid of.
92326	+	　頭、なでなで、なでなで」	　There there, head pats.」

92327	Onoha Mespos	「ひっ……ひい……」	「Hii... hii...」

92328	Rance	「お、ほっぺた柔らかいな。	「Oh, your cheeks are so soft.
92329	+	　がははは、伸びるー、伸びるー」	　Gahahaha, they stretch, they stretch.」

92330	Onoha Mespos	「ふにゃ、にゃあ……！　びくっ……！」	「Funya, nyaa...! Twitch...!」

92331	Rance	「まーったく、俺はこんな優しいのに、	「Geez, I'm so nice yet
92332	+	　何に怯える必要があるって言うんだろうなー。	　why are you so scared.
92333	+	　がははは、伸びる伸びるー」	　Gahahaha, stretch stretch.」

92334	Onoha Mespos	「そ、そういうところー！	「T-that attitude!
92335	+	　……です！」	　...is the problem!」

92336	Rance	「うりうり、うりうり」	「Rub rub, rub rub.」

92337	Onoha Mespos	「やー……もう、やーーー……」	「Nooo... stop...」

92338	Sill Plain	「ランス様……	「Rance-sama...
92339	+	　面白がってらっしゃいます……」	　You're having too much fun...」
