# 33839	t２３２／３／ハニーキングの怒り	

253374	?		少し前	A little earlier. At the Hanny King's camp, a monster
253375	+		ハニーキングの陣、側には魔物軍から派遣された魔物隊長が居る	captain dispatched from the monster army stands nearby. A
253376	+		ウルザの手紙を受け取っていたハニーが	Hanny who had received a letter from Urza Received a signal
253377	+		ウルザからの信号を受けてハニーキングに手紙を渡す	from Urza and handed the letter to the Hanny King. The letter
253378	+		その手紙には、メディウサによる悲惨な女の子の殺戮写真が入って居た	contained gruesome photos of girls slaughtered by Medusa.
253379	+		魔軍は捕まえた人間をこんな風に処分しますよと	It said the Monster Army disposes of captured humans in this
253380	+		怒るハニーキング、	way. The Hanny King, enraged, says to the monster captain
253381	+		側の魔物隊長に言う、君・・これはどういう事だね。	beside him, 'You... what is the meaning of this?' Great Monster
253382	+		魔物大将軍ツォトン君は、我々と一緒に人間をいじめて可愛がろうという話だったが	General Zedong was supposed to be playing nice and bullying
253383	+		これは、殺戮ではないか、というか女の子にこんな事をしてはいかーーん	humans together with us, but this is slaughter, and doing such
253384	+		わかった、お前達は俺達の敵だ。	things to girls is unacceptable! I see. You all are our enemies.
253385	+		いや、しかし、ハニー達も人間と敵対しているのでは・・	No, but aren't the Hannies also hostile toward humans...?
253386	+		ばかやろう、俺達は人間と仲良く喧嘩したいのだー	You idiot! We want to have a friendly fight with humans!
