# 31296	２４１／４／パイアール日記１	
* Reset Kalar	リセット	Female
* Pastel Kalar	パステル	Female
* Rance	ランス	Male
* Sill Plain	シィル	Female
* Maria Custard	マリア	Female
* Caloria Cricket	カロリア	Female
* Miracle Tor	ミラクル	Female
* Crook Mofus	クルックー	Female

64961	Reset Kalar	「あ、こっちにも箱があるよ。	「Ah, there's another box here.
64962	+	　えと……パイアー、ル？」	　Um... Pi-R...l?」

64963	Pastel Kalar	「なんじゃと？」	「What?」

64964	Reset Kalar	「開けてみよ。えいっ」	「Let's open it. Ei!」

64965	-	リセットが開けた箱には、	Inside the box Reset opened
64966	+	日記帳のようなものがぎっしりと入っていた。	were diary-like books packed tightly.

64967	Reset Kalar	「わぁ……何だろ、これ？」	「Waa... What is this?」

64968	Rance	「なんだ、何か見つけたのか。どれどれ」	「What, you found something? Let's see.」

64969	-	ランスが横から、そのうちの一冊を手に取った。	Rance reached over and picked up one of the books.

64970	-	姉さんが生まれてから26年と122日。	26 years and 122 days since my sister was born.
64971	+	――今日、僕は人間を辞めた。	――Today, I quit being human.

64972	-	そのことには欠片も後悔はないけれど、	I don't regret it one bit,
64973	+	ここから先は僕も未知数だ。	but from here on even I am in unknown territory.
64974	+	何かの時の為に、テキストメモを残しておこう。	Just in case, I'll leave some text memos.

64975	-	僕はパイアール。パイアール・アリ。	I am Pi-R. Pi-R Ari.
64976	+	僕が魔人になったのは当然、ルート姉さんのためだ。	I became a Fiend of course for my sister Root.
64977	+	姉さん。僕の姉さん……	Sister. My sister...

64978	Rance	「おっ、写真もあるぞ。これが奴の姉貴か」	「Oh, there's a photo too. So this is his sister?」

64979	Sill Plain	「わあ……綺麗な方ですね……」	「Wow... She's beautiful...」

64980	Rance	「うむ。奴が欲情するのも分かるな。	「Yeah. I can see why he'd lust after her.
64981	+	　近親相姦狙いとは下衆野郎め」	　What a lowlife, aiming for incest.」

64982	Maria Custard	「そういうのとは、ちょっと違う雰囲気だけど……」	「The vibe is a bit different from that though...」

64983	-	姉さんが突然蝕まれた流行病はかなり厄介だ。	The epidemic that suddenly afflicted my sister is quite troublesome.
64984	+	研究に、時間が要る。	Research will take time.

64985	-	もちろん他人の医者なんか信用できない。	Of course I can't trust other doctors.
64986	+	姉さんは僕が、僕だけが助けるんだ。	I alone will save my sister.

64987	-	仕組んだ神とやらがいたら、いかなる手段をもっても	If there's a god who orchestrated this, no matter what means,
64988	+	そいつを縊り殺してやる……ところだけど。	I'll strangle it to death... but.
64989	+	そんな事をしてる暇があったら姉さんを救わないと。	If I had time for that, I'd rather save my sister.

64990	-	わざわざ、馬鹿どもを率いてまで魔人と戦い、	I even led idiots into battle against Fiends
64991	+	そのサンプルを捕らえることができた。	to capture samples.
64992	+	実験結果も、想定通り。僕は魔人になった。	The results were as expected. I became a Fiend.

64993	-	姉さんには、冷凍睡眠で眠ってもらっている。	I put my sister into cold sleep.
64994	+	これで時間は稼げた。	This bought us time.
64995	+	眠っていても、姉さんは綺麗だ。姉さん……	Even asleep, my sister is beautiful. Sister...

64996	-	さて、僕が姉さんに施した処置は、単純だ。	Now, the treatment I gave my sister is simple.
64997	+	まず…………	First........

64998	Rance	「…………うっぷ。飽きた」	「............Ugh. Bored.」

64999	-	以降に続く、意味不明な説明の羅列を見た瞬間、	The moment he saw the following string of incomprehensible explanations,
65000	+	ランスは日記をぽいっと捨てた。	Rance tossed the diary away.

65001	Sill Plain	「あ、で、でも、これ魔人さんの情報なんじゃ……」	「Ah, b-but this is information about a Fiend...」

65002	Rance	「こんな気持ち悪いもん読んでられるか！	「Who the hell can read this creepy shit!
65003	+	　どれだけあると思ってんだ！」	　How much of this crap is there!」

65004	Caloria Cricket	「すっごいよねぇ……いっぱいあるよ」	「It's amazing... There's so much of it.」

65005	Miracle Tor	「魔人パイアールは……	「Fiend Pi-R is...
65006	+	　確か、ナイチサ期には存在が確認されているな。	　If I recall, his existence was confirmed during the Nighcisa period.
65007	+	　つまり、少なく見積もって2000年以上か」	　Which means at least over 2000 years.」

65008	Rance	「却下だ却下。誰か読んどけ」	「Rejected, rejected. Someone else read it.」

65009	Crook Mofus	「…………ん。ランス。これを」	「............Hm. Rance. Here.」

65010	-	箱の中を漁っていたクルックーが手を止めて、	Crook, who had been rummaging through the box, stopped her hands,
65011	+	二冊ばかりのメモ帳をランスに渡した。	and handed Rance a couple of notebooks.

65012	Rance	「お？　これは……最近の奴か。	「Oh? These... are the recent ones.
65013	+	　研究メモ、か……？」	　Research notes, huh...?」

65014	-	ランスは気を取り直し、そちらを読み始めた。	Rance pulled himself together and started reading them.
