# 34477	t００／迷宮／初めての自動戦闘	

257226	?		敵に接触、自動戦闘に入り前に発生	Occurs upon enemy contact, before
257227	+		　	 
257228	+		ランス様、敵です。	entering auto battle. Rance-sama,
257229	+		・・・・	enemies! .... Rance-sama? Mm,
257230	+		ランス様？	wait a moment. ..?? It seems there will
257231	+		うむ、ちょっと待て	be many battles ahead. Yes, since it's
257232	+		・・？？	a major war against the Monster Army,
257233	+		この先も戦いは多そうだな。	I expect continuous battles more than
257234	+		はい、魔軍との大戦争ですから、これまで以上に連戦になるかと・・	before... That's right, there will be
257235	+		そうだ、連戦になる。ゆえにだ	many battles. Therefore... If I get tired
257236	+		俺様が肝心な時に疲れてしまっては世界の危機だ。	at a crucial moment, it'll be a crisis
257237	+		重要な戦いは俺様が指揮するが、気が乗らない、めんどくさいなぁと思う時は	for the world. I will lead the important
257238	+		任せた。	battles, but if I don't feel like it
257239	+		えっ？	or find it troublesome... I'm leaving it
257240	+		やる気がある奴、いけーーー	to you. Huh? Those who are motivated,
257241	+		はいれす	go~~~! Understood. About three people
257242	+		あいあいさーとか元気そうなの３人ほど	like Aiai-sa who seem energetic.
