# 33530	５０７／マエリータ隊始動	
* Stroganoff	ストロガノフ	Male
* Scholar	学者	Male
* Muscle	マッスル	Male

249236	-		ケイブリス城――	Kayblis Castle--

249237	-		魔物大元帥ストロガノフが	Monster Grand Marshal Stroganoff
249238	+		私室で剣の訓練をしていた。	was training with his sword in his private quarters.

249239	-		彼は派閥戦争において活躍を示した	He was from the Maelita Squad,
249240	+		魔物の精鋭部隊、マエリータ隊の出身である。	the elite monster unit that distinguished itself in the Faction War.

249241	-		個体としても魔物の中では最強であり、	As an individual he is the strongest among monsters,
249242	+		深謀遠慮として知られる指揮力も有する。	and possesses commanding ability known for deep strategy.

249243	-		彼は派閥戦争において数多くの魔物を率い	He led many monsters in the Faction War,
249244	+		幾多の戦いの中に身を投じ、	throwing himself into countless battles,
249245	+		その存在を内外に知らしめた。	making his name known both inside and outside.

249246	-		その活躍がケイブリスに高く評価され、	His achievements were highly praised by Kayblis,
249247	+		魔物将軍、魔物大将軍と出世し、	rising to Monster General and then Great Monster General,
249248	+		現在では最高位の魔物大元帥の地位にいた。	and now holds the highest rank of Monster Grand Marshal.

249249	-		魔軍の実質NO.2、参謀長的な位置であり、	He is effectively the No.2 of the Monster Army, in a chief of staff position,
249250	+		魔人に対しても指示を与えられる立場。	able to give orders even to Fiend.

249251	-		しかし、そのことに彼は驕る気は毛頭ない。	However, he shows no arrogance about it.

249252	Stroganoff	基本	「ふっ……！　ふっ……！」	「Hah...! Hah...!」

249253	Stroganoff		「全ては理想の……	「Everything is for the ideal...
249254	+		　魔物の為の世界を作る為……」	　To create a world for monsters...」

249255	-		昔を懐かしむように目を細める。	He narrowed his eyes as if reminiscing about the past.

249256	-		彼の理想とは魔王ジルが支配していた時代。	His ideal was the era ruled by Demon King Jill.

249257	-		その世界作りの為、重用された彼は	Heavily relied upon for that world-building,
249258	+		その身をケイブリスに捧げるつもりである。	he intends to devote his body to Kayblis.

249259	Stroganoff		「人間もまた強くなった。	「Humans have grown stronger too.
249260	+		　これは時間がかかる、か？」	　This may take time, huh?」

249261	-		彼は人間を見下すごく一般的な魔物であるが、	He is a typical monster who looks down on humans,
249262	+		同時に人類の進歩に関して正当に評価もする	yet also fairly evaluates human progress,
