# 30508	マルチナ／キャライベントＢ	
* Caloria Cricket	カロリア	Female
* Tokugawa Sen	千姫	Male/Female
* Martina Curry	マルチナ	Female

11807	Caloria Cricket	「はーい、よしよしー。	「Here you go, good good~.
11808	+	　ミルクだよー」	　Milk time~」

11809	-	保育園では、今日もランスの子供たちが	In the nursery, Rance's children were
11810	+	元気にミルクを飲んでいた。	energetically drinking milk as usual.

11811	?	「だぁ、だぁ……んく……むきゅ……」	「Daa, daa...... gulp...... mkyu......」

11812	Tokugawa Sen	「……これで行き渡ったかな？」	「......Is this enough for everyone?」

11813	Caloria Cricket	「あ。この子がまだ…………って、あれ？	「Ah. This child still...... Wait, huh?
11814	+	　誰この子……乱義でもザンスでもなくて……」	　Who is this child...... Not Rangi or Zance......」

11815	Tokugawa Sen	「ああ、この間、頼まれてな。	「Ah, I was asked to take care of this one recently.
11816	+	　増えたんだ」	　The number increased.」

11817	Caloria Cricket	「へ……誰の……？	「Eh...... Whose......?
11818	+	　あ、先にミルクあげなきゃ」	　Ah, I need to give milk first.」

11819	Tokugawa Sen	「いや……その必要はない」	「No...... That's not necessary.」

11820	Caloria Cricket	「え？」	「Eh?」

11821	Martina Curry	「ごめんなさい！　遅くなったわ」	「Sorry! I'm late.」

11822	Tokugawa Sen	「いや、大丈夫だ」	「No, it's fine.」

11823	Martina Curry	「そっか、ありがと……」	「I see, thanks......」

11824	Caloria Cricket	「……マルチナさん…………の、子供？」	「......Martina-san's...... child?」

11825	Martina Curry	「ええ、旦那がいないもんで。	「Yes, since I don't have a husband.
11826	+	　ここにお世話、お願いしちゃった」	　So I asked them to look after the child here.」

11827	Martina Curry	「さー、ごはんよー」	「Here, food time~」

11828	?	「ん……まんま…………」	「Nn...... Food......」

11829	Martina Curry	「はーい、ごはん、用意してきたわよー」	「Here you go, I prepared the meal~」

11830	Caloria Cricket	「あっ、そっか。マルチナさんが	「Ah, right. Since Martina-san
11831	+	　ごはんを用意するから……」	　is preparing the food......」

11832	Tokugawa Sen	「ああ。私たちが用意する必要はないということだ」	「Yes. So we don't need to prepare anything.」

11833	Caloria Cricket	「ううん。マルチナさんがお母さんだったら、	「Yeah. If Martina-san is the mom,
11834	+	　おいしーの食べさせてもらえそうだね」	　we'd get to eat something really delicious.」

11835	Tokugawa Sen	「……それは、そうなんだろうが」	「......Well, that's probably true.」

11836	Caloria Cricket	「え？」	「Eh?」

11837	Martina Curry	「さあ……匂いで決めなさい。	「Now...... Decide by the smell.
11838	+	　……どちらから食べる……？」	　......Which one will you eat......?」

11839	?	「う、ううぅぅ……」	「U, uuuu......」

11840	-	マルチナは赤ん坊の目の前に、	Martina held out two bowls of porridge
11841	+	お粥の入った皿をふたつ差し出した。	in front of the baby.

11842	?	「う…………ぅ……」	「U...... uu......」

11843	-	幾度か鼻を鳴らして、	After sniffing a few times,
11844	+	赤ん坊は片方の皿に近寄っていった。	the baby crawled toward one of the bowls.

11845	Martina Curry	「……………よし正解！	「............Correct!
11846	+	　出汁の香りを嗅ぎ取ったのね！」	　You picked up the aroma of the broth!」

11847	?	「だあ……！」	「Daa......!」

11848	-	母に撫でくり回されながら、	While being lovingly stroked by its mother,
11849	+	赤ん坊は嬉しそうに粥を口に運んでいく。	the baby happily ate the porridge.

11850	Caloria Cricket	「あれ……ちなみに間違えたらどうしてるの？」	「By the way...... What happens if they pick the wrong one?」

11851	Tokugawa Sen	「……………………」	「........................」

11852	Tokugawa Sen	「各家庭、躾は様々だからな……」	「Discipline varies by family......」

11853	Caloria Cricket	「ええ！？」	「Ehh!?」

11854	Martina Curry	「ふふふ……赤ん坊は味覚、嗅覚は鋭いのよ。	「Fufufu...... Babies have sharp senses of taste and smell.
11855	+	　今のうちに色々な味を覚えさせるの……」	　This is the time to let them experience many flavors......」

11856	Martina Curry	「そして長じては素晴らしい料理人になり！	「And when they grow up, they'll become amazing chefs!
11857	+	　私の前の立ちはだかるのよ！」	　They will stand before me!」

11858	Martina Curry	「美食界の魔王として君臨する私を、	「They will become the gourmet hero who defeats me,
11859	+	　美食の勇者となって打ち砕くの……ふふふ……」	the Demon King of the gourmet world...... Fufufu......」

11860	Caloria Cricket	「魔王なんだ、マルチナさん…………」	「So you're the Demon King, Martina-san......」
