# 35297	t２４２／性教育	

263206	?		ダークランス・・ちょっと悩んだが・・ランスの元にいく事にした	Dark Rance... hesitated a little but
263207	+		ここが奴のテントか・・	decided to go to Rance. So this is his
263208	+		中に入る・・・うわわわわわーー	tent... I enter inside... Whoaahhh! (Event
263209	+		（イベントＣＧ：マリアのエロ）	CG: Maria's erotic scene) Inside the
263210	+		テントの中、マリアを使ってセックス実習	tent, sex practice using Maria. Son, this
263211	+		息子よ、これが女だ。	is what a woman is. Hey, Rance, stop it.
263212	+		ちょっとランスやめてよ、ああ、もう前にも同じような事あった	Ah, we've had this happen before. You
263213	+		お前は見られている方が感じるだろ	feel it more when you're the one being
263214	+		ダークランスは顔真っ赤、あわあわどうしていいかわからない	watched, right? Dark Rance's face is
263215	+		ちょっとランス、やめない、やりすぎよとマリアが注意する	bright red, flustered and unsure what to
263216	+		＞選択肢	do. Hey Rance, stop, you're going too
263217	+		＞　続ける、パンツを脱がす	far, Maria warns. > Choice > Continue,
263218	+		＞　この辺にしてやる	take off her panties > Stop around here
