# 34961	t６０８／ジャハルッカス／戦闘前	

259495	?		通路を進む・・途中で振動が何度か聞こえる	We proceeded down the passage... several vibrations
259496	+		案内のホルスがジャハルッカスの説明	were felt along the way. Horus, our guide, explained
259497	+		ランスさん、そうでね、貴方方のお父さんが前に倒しました	about Jhahlckas. Rance-san, yes, your father
259498	+		だが、復活してしまった、理由は分からないがこの星の悪魔と契約を結んだらしい	defeated him before. But he revived; the reason
259499	+		コールドスリープ室	is unknown, but it seems he made a contract with
259500	+		巨大なジャハルッカスとアームズが戦っている	a demon of this planet. The cryo-sleep chamber.
259501	+		が、明らかにアームズが押されている	The gigantic Jhahlckas and Arms are fighting.
259502	+		アームズが倒れた（悪性けほけほ病のせいでなく実力で負けた）	But clearly, Arms is being pushed back. Arms fell
259503	+		入れ替わるようにエール達がジャハルッカスの前に立ち塞がる	(not because of the malignant cough disease, but
259504	+		君達は・・	defeated by power). El and the others stepped up
259505	+		お久しぶりです、ここは任せて下さい	to block Jhahlckas as if replacing him. You guys
259506	+		＞戦闘	are... Long time no see, leave this to us. > Battle
