# 33849	t４０４／ウルザ１	

253471	?		ラグナロックアーク	Ragnarok Arc Rance is asking Urza for a favor.
253472	+		ランスがウルザにお願いしている	Urza says, 'That would be troubling...' Conversation
253473	+		困りますとウルザ・・	between Rance and the Hanny King. So that
253474	+		　	
253475	+		ランスとハニーキングの語らい	girl is called Urza-chan. I almost got deceived by the
253476	+		そうかあの子はウルザちゃんというのか、あやうく魔軍に騙される所だったが	Monster Army. Thanks to her, I was saved. However...
253477	+		彼女のおかげて助かったよ、だが・・	As a girl, she's scary... intimidating, too brave, a bit
253478	+		女の子としては、怖い・・おっかない、勇ましすぎ、ちょっといまひとつだな	lacking somehow. She's a good woman, and cute too,
253479	+		いい女だぞ、可愛いんだとランス、お前は彼女のそういう可愛さを知らないだけだ	Rance. You just don't know that kind of cuteness she
253480	+		いつもきりっとしているが実は・・くく	has. She is always composed, but actually... heh heh.
253481	+		なに、ほんとうなのか、それを見せて欲しい	What? Is that true? I want to see that. If she shows
253482	+		見せてくれるのなら我がハニー軍団、人類に協力しよう。	it, my Hanny troops will cooperate with humanity.
