# 34539	t１６０／スタート	

257661	?		条件　リーザスを解放している状態、魔物大将軍も倒した	Condition: Leazas is liberated and Great Monster General
257662	+		こちら、オマケシナリオみたいな物なので短めで作って下さい	defeated. This is like a bonus scenario, so please make it
257663	+		　	
257664	+		リーザス城．	short. Leazas Castle. Lia and Maris are busy with aftercare
257665	+		魔軍はあらかた駆逐したものの時後処理に追われているリア、マリス	despite largely exterminating the Monster Army. Darling,
257666	+		ダーリンどうしたの？　もうリーザスは安全よ、他の国を助けてあげてとか	what's wrong? Leazas is safe now; you should help other
257667	+		がははは、それは任せておけ、今日は気分転換に残党狩りに来たのだ	countries. Hahaha, leave that to me. I'm here to hunt down
257668	+		逃げ遅れた魔軍とかいるだろう、どこにいる	remaining enemies for a change of pace today. There must
257669	+		勝負がついている敵に追い打ちをかけるその姿勢、素敵。	be Monster Army soldiers who failed to escape; where
257670	+		　	
257671	+		　　１５９／スタートは　　ヘルマンの場合	are they? It's admirable to press the advantage against
257672	+		　　１６０／スタートは　　ゼスの場合	enemies who are already defeated. 159/ Starting point:
257673	+		　　１６１／スタートは　　自由都市の場合です	Helman's case. 160/ Starting point: Zeth's case. 161/
257674	+		　　　それぞれっぽい感じで	Starting point: Free Cities case. Each with a fitting style.
