# 33787	t２３１／５／待ち構えるメディウサ	

252856	?		その頃、メディウサの司令部。	Around that time, Medusa's headquarters. （A newly
252857	+		（前回いた位置より少し下がった所に作った新設）	built one a bit further back from the previous location.）
252858	+		メディウサ、アレフガルド、そして石化したランスが置かれている	Medusa, Alefgard, and the petrified Rance are placed
252859	+		さすがメディウサ様、お見事なプランです	there. As expected of Lady Medusa. A magnificent
252860	+		そう、ふふふ	plan. Yes, fufufu. All of this hero-kun's girlfriends,
252861	+		このヒーロー君の彼女達、みーんな私欲しいの、強い子たくさんいるから	I want them all. There are so many strong girls.
252862	+		遊び甲斐あるだろうしね	They'll be fun to play with. But at that time, I might
252863	+		でも、あの時、一人か二人はさらえたかしもしれないけど	have been able to kidnap one or two, but all of them
252864	+		みんなは無理だったからね	was impossible. But if I keep this hero-kun here, they
252865	+		でも、このヒーロー君をここに置いていたら、きっと来るわ。	will surely come. Those kinds of girls are so dutiful
252866	+		そんな娘達よ、律儀で一途だわ・・・いじめがいある。わくわく	and devoted... They are worth bullying. I'm excited.
