# 33814	t２３２／１／なかなか見つからない	

253082	?		何度か魔軍とは戦闘したが、敵の本体というか魔物大将軍ツォトンは見つからなかった	We fought the Monster Army several times
253083	+		いや、ツォトンどこから魔物将軍すら接触出来ない	but could not find the enemy's main body, or
253084	+		くっ・・見つからんな。	the Great Monster General Zedong. No, Zedong
253085	+		闇雲に突撃しても厳しいですね。	is unreachable even by the Monster Generals.
253086	+		うむむ、なんか、ここにいそうな気がしたのだが	Damn... can't find him. Charging blindly is tough,
253087	+		いや、あっちだ。	isn't it? Hmm, I had a feeling he was around
253088	+		待って下さい、光蝕の日が始まって、もう２時間ほど立っています。	here. No, over there. Please wait, the Day of
253089	+		そろそろ、星明かりも無くなる真っ暗となります、歩く事すら危険になるので	Light Eclipse started about two hours ago. Soon,
253090	+		このあたりでゼスの支配エリアに戻った方がよいですよ	the starlight will disappear and it will become
253091	+		＞選択	pitch dark; walking will even be dangerous. It's
253092	+		＞　戻る	better to return to the Zeth controlled area
253093	+		＞　戻らない	around here. > Choice > Return > Do not return
