# 33761	t２３１／３／マジックとザカリテ	

252639	?		ラグナロックアーク	Ragnarok Arc Back at the castle, Rance talks with Miracle,
252640	+		城に戻ったランス、ミラクル、クルックー、フェリスあたりと会話	Crook, Feliss and others. They learn about Xacalite (refer to Xacalite
252641	+		ザカリテの事を知る（ザカリテの設定参照）	setting). The legendary treasure that only Zeth kings can use, the Contract
252642	+		ゼス王しか使えないという伝説の宝具、契約の椅子、それに収められているのが悪魔ザカリテ	Chair. The devil Xacalite is sealed inside it. 「Magic is a child with strong
252643	+		マジックは責任感の強い子だから使ったのかも・・	responsibility, so she might have used it...」 Magic appears there. She looks
252644	+		そこにマジックが現れる。少し気落ちした感じだが、なんとか笑顔を作ろう	a bit down but tries to force a smile. When someone mentions Xacalite,
252645	+		誰かがザカリテにことにふれると、大丈夫よと軽く答える、それより魔物将軍ちゃんと倒せたのね、よかった。	she lightly answers 「I'm fine.」 「More importantly, you properly defeated
252646	+		そうか、あれはお前がやったのか、よくやったとランスも褒める	the Monster General. Good.」 「So that was you? Well done.」 Rance also
252647	+		それより、お前の頭の上にある７て数字はなんだ？	praises her. 「By the way, what is that number 7 above your head?」 「It's
252648	+		なんでもないわ、気にしないで・・それより	nothing. Don't worry about it... More importantly, （The number might be
252649	+		（　数字は頭の上でなく額に書くかも・・こちらは絵に合わせて下さい）	written on her forehead instead of above her head... Adjust to the art.）
