# 32507	２１０／３２／シルキィ戦闘後	
* Rance	ランス	Male
* Sill Plain	シィル	Female
* Satella	サテラ	Female
* Chaos	カオス	Male
* Silky Littleraisin	シルキィ	Female
* Caesar	シーザー	Male
* Haurein Province	ハウレーン	Female
* Kentou Kanami	かなみ	Female
* Crook Mofus	クルックー	Female

155662	Rance	基本	「ぐうっ……」	「Guu...」

155663	Sill Plain		「う、うう……ランス様ぁ……」	「U, uuu... Rance-sama...」

155664	-		シルキィの猛攻によりメンバーのほとんどが	Due to Silky's fierce assault, most of the members
155665	+		地に伏していた。	were lying on the ground.

155666	Rance		「くそ、なんちゅう強さだ……」	「Damn, what strength...」

155667	Satella	不安	「いや、むしろ……弱いぞ……」	「No, actually... she's weak...」

155668	Rance	基本	「なんだと？」	「What?」

155669	Satella		「シルキィは20トンもする魔導具を使う魔人だ……	「Silky is a Fiend who uses 20-ton magical tools...
155670	+		　あの甲冑は見たところせいぜい200キロ」	　That armor looks like only about 200 kilos at most.」

155671	Rance		「つまり……どういうことだ？」	「So... what does that mean?」

155672	Satella	不安	「多分……ケイブリスの命令か何かで、	「Probably... under Kayblis's orders or something,
155673	+		　弱体化させられてる……」	　she's been weakened...」

155674	Rance	基本	「げ、これで弱体化してるのかよ」	「Ge, so this is her weakened state?」

155675	Chaos	驚き	「うおっ、心の友避けろ！」	「Uoh, soul friend, dodge!」

155676	Rance	基本	「なっ！」	「Na!」

155677	Rance		「がはっ！？」	「Gaha!?」

155678	-		突進したシルキィがランスの首を掴んだ。	Silky charged and grabbed Rance by the neck.

155679	Sill Plain	慌て	「ああああ！　ランス様ァ！」	「Aaaaaa! Rance-sama!」

155680	Satella	基本	「なっ、引きずられていった！」	「She's dragging him away!」

155681	-		掴んだ後もシルキィの突進は止まらず、	Even after grabbing him, Silky's charge didn't stop,
155682	+		そのままランスを引きずり続ける。	and she continued dragging Rance along.

155683	Rance		「ぐおおおおおおおおお！」	「Guoohhhhh!」

155684	-		地面と体を擦られながら、気づけば	Scraped along the ground, before he knew it
155685	+		そのまま数百メートル近くも移動していた。	he had been dragged hundreds of meters.

155686	Rance		「うげっ、ごっ、がっ！？」	「Uge, go, ga!?」

155687	-		捕まれている首根っこの手を	He tried to pry off the hand gripping his neck,
155688	+		なんとか振りほどこうとするが、	but
155689	+		シルキィの手はまるで万力のように動かなかった。	Silky's hand was like a vice and wouldn't budge.

155690	Rance~		（な、なんちゅう奴だ！	（W-what a monster!
155691	+		　まるで暴れうしに引きずられてるようだぞ！）	　It's like being dragged by a raging bull!）

155692	Silky Littleraisin	ファット	「ふんっ！」	「Hun!」

155693	Rance	基本	「ぐえっ！？」	「Gue!?」

155694	-		ピタリとシルキィが動きを止めると、	When Silky suddenly stopped,
155695	+		その場に砂煙が舞った。	sand and dust flew up around them.
155696	+		引きずられた道は地面がえぐられていた。	The path she dragged him along was gouged deeply into the ground.

155697	Rance		「あ、あだだ……ひ、死ぬかと……」	「A, ow ow... I thought I was gonna die...」

155698	Silky Littleraisin	ファット	「こう見えてもシルキィ・リトルレーズンは、	「Even if I look like this, I am Silky Little Raisin,
155699	+		　魔人四天王の一角」	　one of the Four Dread Fiends.」

155700	Silky Littleraisin		「お前は何体か魔人を殺したと聞いたが……」	「I heard you killed several Fiends...」

155701	Silky Littleraisin		「私はお前が今まで見てきた魔人とは	　I am on a completely different level
155702	+		　レベルが違うぞ」	　from the Fiend you've faced before.」

155703	Rance	基本	「や、やかましい！　こ、この離さんか！」	「S-shut up! L-let go of me!」

155704	Rance~		（手が全ッ然ふりほどけん！	（I can't pry her hand off at all!
155705	+		　それに、頭もくらくらして……	　And my head is spinning...
155706	+		　あ、これあかんかも……）	　Ah, this might be bad...）

155707	-		周りに仲間はおらず、	There were no allies around,
155708	+		シルキィは既に握り拳が振り上げている。	and Silky already had her fist raised.

155709	-		その拳を使えば、	With that fist,
155710	+		ランスの頭を叩き割るのは容易いだろう。	she could easily smash Rance's head open.

155711	Rance		「げげげ、やめろーーーーっ！」	「Gegege, stopppp!」

155712	Silky Littleraisin	ファット	「トップ一人の犠牲で済むなら、	「If sacrificing just the top leader is enough,
155713	+		　それに越したことはない……」	　that would be best...」

155714	Rance	基本	「な、なんだって？」	「W-what did you say?」

155715	Silky Littleraisin	ファット	「…………」	「............」

155716	Silky Littleraisin		「……死んでもらう」	「...You will die.」

155717	Caesar	基本	「ウオオオオオオオオ！」	「UOOOOOOOOOH!」

155718	-		その時、シーザーが二人の間に飛び込んできた。	At that moment, Caesar jumped between them.

155719	Silky Littleraisin	ファット	「ぐうっ！？」	「Guu!?」

155720	-		シーザーの巨体による体重を乗せたタックルで、	With a heavy tackle using his massive body weight,
155721	+		シルキィが吹き飛ばされる。	Silky was sent flying.

155722	Caesar	基本	「サテラ様ノ命令！	「Satella-sama's order!
155723	+		　コノ男、殺サセナイ！」	　This man will not be killed!」

155724	Silky Littleraisin	ファット	「くっ！　頼む、シーザー！　どいてくれ！」	「Kuh! Please, Caesar! Move out of the way!」

155725	Caesar	基本	「サテラ様ノ命令！	「Satella-sama's order!
155726	+		　シーザーニハ絶対！」	　Absolute for Caesar!」

155727	Silky Littleraisin	ファット	「このっ――！」	「You--!」

155728	Satella	基本	「――シルキィ、もうやめろ！」	「--Silky, stop already!」

155729	Silky Littleraisin	ファット	「…………」	「............」

155730	Silky Littleraisin		「サテラ……」	「Satella...」

155731	Satella	怒り	「こいつは殺させない！	「I won't let you kill him!
155732	+		　ホーネット様の為にも必要なんだ！」	　He's needed for Lady Hornet too!」

155733	Rance	基本	「げほ、げほっ……サテラか……」	「Geho, geho... Satella...」

155734	Satella	不安	「……お前、なんで	「...Why
155735	+		　ケイブリスの手下になってるんだ」	　did you become one of Kayblis's subordinates?」

155736	Satella		「……ホーネット様はどうした？」	「...What happened to Lady Hornet?」

155737	Silky Littleraisin	ファット	「…………」	「............」

155738	-		シルキィが怒らせていた肩を下ろす。	Silky lowered her tensed shoulders.

155739	-		体から溢れていた闘気が	The fighting spirit overflowing from her body
155740	+		みるみる萎んでいくのが見て取れた。	visibly withered away.

155741	Silky Littleraisin		「……サテラ、ごめん」	「...Sorry, Satella.」

155742	Silky Littleraisin		「全て……私が弱いせいだ……」	「It's all... because I'm weak...」

155743	Satella	基本	「それは、どういう……」	「What do you mean by...」

155744	Haurein Province		「総統！」	「Supreme Leader!」

155745	Rance		「おお、ハウレーン！」	「Oh, Haurein!」

155746	Haurein Province		「遅れてすまない！」	「Sorry I'm late!」

155747	Haurein Province	目閉じ	「……どこぞの総統が後ろを無視して進むので	「...Because a certain Supreme Leader charged ahead without looking back
155748	+		　遅れてしまった」	　I got delayed.」

155749	Rance	基本	「……助けに来た割には嫌味っぽいな」	「...For someone who came to help, that's pretty sarcastic.」

155750	Haurein Province		「しかし、まさか既に魔人と交戦中とは……」	「But to think you were already fighting a Fiend...」

155751	Silky Littleraisin	ファット	「…………」	「............」

155752	Rance	だる顔	「な、なんだ！？　まだやるか！？」	「W-what!? You still wanna fight!?」

155753	Rance	基本	「がははは、実は俺様は今の戦いで	「Gahahaha, actually during that fight
155754	+		　お前の弱点に気づいたのだ！	　I noticed your weakness!
155755	+		　だから次こそは負けないぞー！」	　So next time I definitely won't lose!」

155756	Silky Littleraisin	ファット	「…………」	「............」

155757	Satella	基本	「あ、待て！」	「Ah, wait!」

155758	Rance	真剣	「……い、行ったか。	「...She left, huh.
155759	+		　俺のハッタリが効いたかな？」	　Did my bluff work?」

155760	Rance	だる顔	「あーーー、しんどかった……	「Aaaah, that was exhausting...
155761	+		　いちち、背中が傷だらけだ……」	　Ouch, my back is covered in wounds...」

155762	Sill Plain	慌て	「大丈夫ですかランス様？	「Are you okay, Rance-sama?
155763	+		　いたいのいたいの、とんでけー」	　Pain pain, fly away~」

155764	Kentou Kanami	基本	「シルキィは……	「Silky...
155765	+		　あれ、本当に逃げたのかしら？」	　Did she really run away?」

155766	Kentou Kanami		「あれだけの強さなら敵が増えても	「With that much strength, even if enemies increased
155767	+		　関係ないでしょうに」	　it shouldn't matter.」

155768	Rance	だる顔	「おーのーれー、この俺様が	「Damn it, even I
155769	+		　こうも簡単に振り回されるとは……」	　got tossed around so easily...」

155770	Rance	基本	「だが、一つ分かったことがある」	「But I learned one thing.」

155771	Chaos		「む、なんか見抜いたんか。	「Mu, did you see through something.
155772	+		　まさか本当に奴の弱点に……」	　No way you actually found her weakness...」

155773	Rance	エロ顔	「去り際に奴の可愛い顔がチラッと見えた。	「At the last moment I caught a glimpse of her cute face.
155774	+		　ぐふふ、合格だ、絶対抱こう」	　Gufufu, she passes, I'm definitely going to fuck her.」

155775	Chaos	驚き	「そっちかよ！」	「That's what you noticed!」

155776	Crook Mofus	基本	「とにかく一旦後方に下がりましょう。	「Anyway, let's retreat to the rear for now.
155777	+		　怪我した方も多いので治すべきかと」	　There are many injured, so we should treat them.」

155778	Rance		「そだな……シルキィも行っちまったし、	「Yeah... Silky left too,
155779	+		　一旦てっしゅーだ」	　time to withdraw for now.」
