# 32962	志津香ナギ／友情イベントＣ	
* Nagi su Ragarl	ナギ２	Female
* Masou Shizuka	志津香２	Female

190928	Nagi su Ragarl	「お、いらっしゃい、＜エール＞。	「Oh, welcome, ＜エール＞.
190929	+	　どうかしたの？」	　What's up?」

190930	-	あなたはリセットから伝言を頼まれて、	You were asked by Reset to deliver a message
190931	+	志津香とナギの部屋を訪ねていた。	and visited Shizuka and Nagi's room.

190932	Masou Shizuka	「ん、明日は朝９時までにロビー集合ね。	「Nn, tomorrow gather in the lobby by 9 AM.
190933	+	　分かった」	　Got it.」

190934	Nagi su Ragarl	「あ、お菓子あるよ。	「Ah, we have snacks.
190935	+	　＜エール＞も食べてく？」	　Want some, ＜エール＞?」

190936	-	ナギに促されるまま、	At Nagi's urging,
190937	+	あなたはテーブルの上のお菓子に手をつける。	you reached for the snacks on the table.
190938	+	中々美味しいお菓子だった。	They were pretty tasty.

190939	-	お菓子を食べるあなたを、	Nagi was staring intently
190940	+	ナギがジーッと睨みつけるように見ていた。	at you while you ate.

190941	Nagi su Ragarl	「ん〜？	「Nnn?
190942	+	　なんとなぁく、まだ＜エール＞とは	　Somehow, I still feel
190943	+	　距離感がある気がするなあ」	　a bit of distance with ＜エール＞.」

190944	Masou Shizuka	「そりゃね……他の子達はほぼ全員、	「Well... almost all the other kids
190945	+	　赤ちゃんの頃から知ってるけど、	　we've known since they were babies,
190946	+	　＜エール＞はそうじゃないわけだし」	　but ＜エール＞ is different.」

190947	Nagi su Ragarl	「う〜〜〜ん……	「Uuuuunnn...
190948	+	　仕方ないのは分かるけど……	　I know it can't be helped but...
190949	+	　う〜〜〜ん……」	　Uuuuunnn...」

190950	Nagi su Ragarl	「……それとも、	「...Or maybe
190951	+	　距離を空けちゃってるのは私の方かな」	　I'm the one keeping the distance.」

190952	Nagi su Ragarl	「そうだ、＜エール＞。	「Oh right, ＜エール＞.
190953	+	　私達のこと、これからはお姉ちゃんって呼んでよ」	　From now on call us big sis.」

190954	Nagi su Ragarl	「スシヌやレリコフはそう呼んでくれるよ。	「Sushinu and Lelikov Helman call us that.
190955	+	　ほら、私達って魔王の子達の	　See, we're like big sisters
190956	+	　姉みたいなもんなんだしさ。ね、ね？」	　to the Demon King's children. Right, right?」

190957	Masou Shizuka	「……はあ」	「...Haa.」

190958	-	ナギは名案を思いついたという嬉しそうな顔をして、	Nagi had a happy face like she came up with a great idea,
190959	+	志津香はまた馬鹿なことを思いついて、	while Shizuka sighed as if thinking it was another stupid idea.
190960	+	という顔で溜め息を吐いた。	

190961	-	あなたは少し恥ずかしいような気もしたが、	You felt a bit embarrassed,
190962	+	ナギの言う通り、お姉ちゃんと呼んでみた。	but tried calling them big sis as Nagi said.

190963	Nagi su Ragarl	「…………」	「............」

190964	-	ナギはニンマリとだらしなく笑った。	Nagi grinned sloppily with satisfaction.

190965	Nagi su Ragarl	「えへへぇ〜……やっぱりいいねぇ……	「Ehehe~... It really feels good...
190966	+	　そう呼ばれるのっていいねぇ〜……」	　Being called that is nice~...」

190967	Masou Shizuka	「ナギ、顔がだらしない」	「Nagi, your face is sloppy.」

190968	Nagi su Ragarl	「失礼な」	「How rude.」

190969	Nagi su Ragarl	「ほら、お姉様も同じように呼んであげて」	「Come on, big sis, you call her too.」

190970	Masou Shizuka	「えっ、いいわよ、私は」	「Eh, I'm fine without it.」

190971	-	ナギに言われた通り、志津香も	As told by Nagi, you tried calling Shizuka
190972	+	志津香お姉ちゃんと呼んでみる。	big sis Shizuka too.

190973	Masou Shizuka	「…………」	「............」

190974	Masou Shizuka	「……はい、どうも」	「...Yes, thank you.」

190975	Nagi su Ragarl	「照れてるの？」	「Are you embarrassed?」

190976	Masou Shizuka	「馬鹿言わないの」	「Don't say stupid things.」

190977	Nagi su Ragarl	「へへー、それじゃあ、	「Hehe, then from now on
190978	+	　今後＜エール＞はこの呼び方で統一ね」	　＜エール＞ will use this way of calling us.」

190979	Nagi su Ragarl	「ザンスや乱義辺りも	「It'd be nice if Zance and Rangi
190980	+	　そう呼んでくれればいいのにね、	　would call us that too,
190981	+	　女の子達はお姉ちゃんって呼んでくれるのに」	　the girls already call us big sis.」

190982	Masou Shizuka	「呼ばないでしょ、あの子達は……」	「Those kids won't...」

190983	-	部屋を出ようとしたら	As you were about to leave the room,
190984	+	あなたは志津香に呼び止められた。	Shizuka called out to stop you.
190985	+	ドアのところで向かい合う。	You faced each other at the door.

190986	Masou Shizuka	「あ〜……」	「Ah...」

190987	Masou Shizuka	「ごめんね、ナギが馬鹿なこと頼んで」	「Sorry, Nagi asked for something stupid.」

190988	Masou Shizuka	「私もそうだけど……	「I'm the same but...
190989	+	　ちょっと生まれが特殊でね……」	　our birth was a bit special...」

190990	Masou Shizuka	「ま、要は弟とか妹とか……	「Basically, to younger brothers and sisters...
190991	+	　家族って存在に弱いのよ、あの子。	　that child is weak to the idea of family.
190992	?	　……私に言えたことじゃないかも知れないけど」	　...Though I probably shouldn't say that.」

190993	Masou Shizuka	「今日は付き合ってあげてくれて、ありがとね」	「Thanks for going along with it today.」

190994	-	志津香は珍しく笑顔を浮かべていた。	Shizuka had a rare smile on her face.
