# How wide each character is in the game's own font, from the index of
# Rance10Font.fnl. Generated by scripts/extract_font_widths.js -- nothing here
# is edited by hand, and modules/GameFont.js is what reads it.
#
# Columns: the character, JSON-quoted <TAB> its advance.
#
# The units are the first block's, where a full-width glyph is 45; only the
# ratios matter, since the panel a string is measured against is given in
# full-width characters too. The advance is the glyph alone -- the tracking
# the layout adds per character, and the space, which has no glyph at all,
# were measured in the game and live in modules/GameFont.js.
#
# "１" stands for every character that is not ASCII: 8819 of the block's
# 8994 glyphs share that one advance and they are the CJK ones. docs/text-width.md
# has the format and the measurements.
"!"	15
"\""	17
"#"	30
"$"	31
"%"	41
"&"	39
"'"	17
"("	19
")"	19
"*"	24
"+"	32
","	13
"-"	21
"."	13
"/"	17
"0"	32
"1"	32
"2"	32
"3"	32
"4"	32
"5"	32
"6"	32
"7"	32
"8"	32
"9"	32
":"	13
";"	13
"<"	27
"="	33
">"	27
"?"	28
"@"	42
"A"	36
"B"	35
"C"	35
"D"	38
"E"	32
"F"	32
"G"	38
"H"	38
"I"	14
"J"	27
"K"	33
"L"	32
"M"	44
"N"	38
"O"	41
"P"	36
"Q"	41
"R"	36
"S"	32
"T"	34
"U"	38
"V"	35
"W"	48
"X"	35
"Y"	34
"Z"	32
"["	19
"\\"	17
"]"	19
"^"	29
"_"	23
"`"	17
"a"	27
"b"	30
"c"	27
"d"	31
"e"	28
"f"	18
"g"	28
"h"	30
"i"	13
"j"	14
"k"	27
"l"	14
"m"	44
"n"	30
"o"	30
"p"	30
"q"	31
"r"	20
"s"	24
"t"	19
"u"	30
"v"	27
"w"	42
"x"	28
"y"	28
"z"	26
"{"	17
"|"	17
"}"	17
"~"	30
"１"	45
