# The names Ｔ敵本体生成 gives the enemy party -- what the plate over its HP
# bar says. Generated by scripts/extract_enemy_party_names.js -- edit
# glossaries/enemy_party_glossary.tsv to change the English, not this file.
#
# Columns: the Japanese, JSON-quoted <TAB> its string slot <TAB> how many other
# places push that slot.
#
# The last column is here to be read, not used: it is why the English is a .jaf
# overriding Enemy@Id::get rather than 231 translated strings.
# 45 of these names share their slot with something else, and for some of
# them that something is a key -- ジャハルッカス is a card Id, マエリータ隊 a flag name.
"テストの集団"	12980	0
"魔物兵"	6368	3
"魔法魔物兵"	12393	1
"偵察魔物兵"	12990	0
"護衛魔物兵"	12991	0
"魔軍中隊"	12993	0
"魔法魔物兵中隊"	12994	0
"岸壁偵察中隊"	12996	0
"魔軍 大隊"	12998	0
"魔軍突撃隊"	13006	0
"拠点防衛隊"	13010	0
"飛行魔物兵"	13013	0
"敗走中の魔軍中隊"	13016	0
"ＳＳ魔物兵"	13024	0
"魔軍ＳＳ中隊"	13026	0
"廃棄されたＳＳ中隊"	13029	0
"精鋭魔軍部隊"	13030	0
"カンフー部隊"	13033	0
"魔物隊長"	5999	16
"魔物隊長率いる中隊"	13041	0
"ボス隊長率いる中隊"	13042	0
"魔物将軍率いる大隊"	13043	0
"ケイブワンとＳＳ中隊"	13047	0
"ケイブニャンとＳＳ中隊"	13049	0
"魔物隊長アバシリ"	13057	0
"コサック騎兵隊"	13062	0
"特別放火部隊"	13064	0
"惨殺部隊"	13072	0
"マエリータ隊"	9610	15
"魔物将軍"	5767	47
"魔物将軍ダボダス"	13086	0
"魔物将軍ダルソン"	8995	96
"魔物大将軍ツォトン"	13093	0
"魔物大将軍ピサロ"	13094	0
"魔物大将軍ヨシフ"	13095	0
"魔物大将軍ルメイ"	13096	0
"超空エノラゲイ"	13110	0
"バイランローズ"	13114	1
"腐ったバイランローズ"	13129	0
"骸骨王モドカタ"	13136	0
"大元帥ストロガノフ"	13140	0
"モンスターＡ"	13147	0
"モンスターＢ"	13148	0
"モンスターＣ"	13150	0
"モンスターＡ部隊"	13152	0
"モンスターＢ部隊"	13154	0
"モンスターＣ部隊"	13156	0
"モンスターの大集団"	13158	0
"魔物Ａ"	7771	6
"魔物Ｂ"	7772	4
"魔物Ｃ"	7773	1
"モンスター達Ａ"	13167	0
"モンスター達Ｂ"	13169	0
"モンスター達Ｃ"	13171	0
"魔物の大群"	13173	0
"雑魚モンスター"	13178	0
"きゃんきゃんと仲間達"	13183	0
"９７チハと仲間達"	13186	0
"ラルカットと仲間達"	13187	0
"メイドさんと仲間達"	13188	0
"フローズンと取り巻き"	13189	0
"マジスコと取り巻き"	13190	0
"バルキリーと僕達"	13191	0
"神風と僕達"	13192	0
"ハチ女と変態モンスター"	13193	0
"はいからちゃんと仲間達"	13194	0
"上野花子と仲間達"	13196	0
"体育スターと仲間達"	13199	0
"シャチ子と仲間達"	13200	0
"ガルバンと仲間達"	13201	0
"めぽらと仲間達"	13202	0
"ミイランと仲間達"	13204	0
"鉄腕ラブルと仲間達"	13205	0
"男装女と仲間達"	13206	0
"手裏剣使いと仲間達"	13207	0
"幸福きゃんきゃんと仲間達"	13208	0
"ハニー"	5982	11
"ハニー部隊"	13212	0
"強いハニー部隊"	13214	0
"古代種"	13226	0
"古代種Ｂ群"	13228	0
"まるいもの達"	13229	0
"飛行モンスター"	13238	0
"飛行モンスターＢ群"	13240	0
"山賊達"	13248	0
"山賊団"	13251	0
"エレナ山賊団"	13258	0
"鬼"	12253	3
"動けない鬼"	13266	0
"ナナサンダケ鬼"	13274	0
"大鬼コウギョク"	13278	0
"悪魔"	8006	12
"リターンデーモン"	13291	0
"ダイコン群生"	13302	0
"毒ダイコン群生"	13311	0
"魔界植物群生"	13316	0
"強魔界植物の群生"	13318	0
"幽霊"	13326	0
"アコンゴースト群"	13329	0
"聖骸闘将"	5889	1
"魔法生物"	11309	1
"上級魔法生物"	13348	0
"サイクロ系"	13358	0
"装甲独眼ゴーレム"	13360	0
"海の生き物"	13363	0
"ぷりょ"	13369	0
"巨大なぷりょ"	13371	0
"アントーン"	13377	0
"白牙アントーン"	13379	0
"闇に蠢く物達"	13390	0
"闇と死の物達"	13392	0
"ガツガツ"	13400	0
"ＳＸガツガツ"	13403	0
"ＳＸガツガツ(reverse)"	13404	0
"ポリポリ"	13419	0
"危険なバグ"	13425	0
"致命的なバグ"	13427	0
"ＰＧ"	12159	2
"謎のロボット"	13440	0
"ハチ女の集団"	13448	0
"機々械々"	11955	2
"ガーディアン"	12412	5
"ストーンガーディアン"	6438	2
"狂った闘将達"	13467	0
"ジャハルッカス"	10836	3
"ザカリテ"	13477	0
"ＰＩ３"	12216	1
"工場長ロボ"	6543	6
"衛星兵器"	12213	1
"グリーンドラゴン"	13496	0
"レッドドラゴン"	13497	0
"ブラックドラゴン"	6564	5
"クレイジードラゴン"	5909	5
"グリーンスライム"	13506	0
"ブルースライム"	13507	0
"レッドスライム"	13508	0
"宝箱だんご"	13514	0
"キラトーキ"	13518	0
"海獣レイドボス"	13525	0
"怪獣ＵＲ"	13531	0
"アスタコプロト"	13535	0
"アスタコ"	12140	2
"悪魔ネプラカス"	13547	0
"黒部"	10339	6
"トッポス"	10831	3
"砂虫"	13567	0
"幸福な砂虫"	13568	0
"ＮＡＴＯ"	13572	0
"デカント部隊"	13577	0
"デスゴーレム"	13580	0
"ティラノ"	13588	0
"特殊部隊１"	13592	0
"特殊部隊２"	13595	0
"チャカ"	10443	3
"リック"	10440	5
"暴走アニス"	13601	0
"カチューシャ"	10782	3
"魔人レッドアイ（アニス憑依）"	13612	0
"魔人健太郎"	13628	0
"魔人健太郎(怒)"	13642	0
"魔人シルキィ・リトル"	13649	0
"魔人シルキィ"	13660	0
"魔人ハウゼル"	13669	0
"魔人姉妹"	13683	0
"バボラの足？"	13688	0
"魔人バボラ"	13694	0
"魔人ガルティア"	13708	0
"使徒ラウネア"	12203	1
"ガルティアの使徒"	13736	0
"魔人レイ"	13743	0
"魔人レッドアイ（トッポス憑依）"	13767	0
"魔人レキシントン"	5053	2
"裸の使徒達"	13789	0
"魔人ケッセルリンク"	13795	0
"メイド使徒"	13818	0
"魔人メディウサ"	13824	0
"使徒アレフガルド"	13862	0
"魔人パイアール"	13868	0
"魔人ケイブリス"	13880	0
"魔人ケイブリス(猛撃)"	13890	0
"魔人ケイブリス(増長)"	13891	0
"魔人ケイブリス(魔法)"	13892	0
"魔人ケイブリス(リス)"	13893	0
"魔人ケイブリス(用心)"	13894	0
"魔王ケイブリス"	13931	0
"魔人ワーグ"	13938	0
"魔人ますぞえ"	13958	0
"魔人かわぞえ"	13963	0
"大量の料理"	13965	0
"大量の料理(おかわり)"	13966	0
"嵐"	13976	0
"天界の壁"	13980	0
"魔法の壁"	13983	0
"岩盤"	13988	0
"事件の謎"	13989	0
"ロッキー"	10446	4
"ランスＪｒ"	10956	3
"魔人サテラ"	12299	1
"ディフェンダー"	14016	0
"ディフェンダー大軍"	14019	1
"魔獣カース"	14022	0
"魔王の子　レリコフ"	14026	0
"ブロビオ"	14029	0
"アームズ"	10641	4
"魔女リクチェル"	14039	0
"アレキサンダー"	12134	2
"魔獣タイガー"	14047	0
"勇者ゲイマルク"	14053	0
